Parameter,Value,Error_Lower,Error_Upper,Fit_Type,Bootstrap_Index
mu,0.19859684043884596,0.009098514468943074,0.009102713993424895,cov_diag,34
var,0.824458690555929,0.012076571060834023,0.012120312091905889,cov_diag,34
A,9901.944925424037,94.98430805572818,96.65984527353834,cov,35
mu,0.19347747684858996,0.009157866077738675,0.00909032064842311,cov,35
var,0.7957582857214821,0.010697289760580226,0.010758038696254689,cov,35
A,9881.087344707614,99.82214742868696,99.72255263861248,cov_diag,35
mu,0.19235256913623316,0.009098132657163168,0.009116231734026646,cov_diag,35
var,0.796279439854566,0.01193006721374884,0.011985137441536531,cov_diag,35
A,10002.53840607193,95.70699367672414,95.94269588716804,cov,36
mu,0.19186296348693396,0.00903164477737539,0.009097464734520262,cov,36
var,0.8183118892055227,0.01076083901785827,0.01081346880917583,cov,36
A,10011.036260842511,99.7705103611845,99.77439194912034,cov_diag,36
mu,0.19598981250029687,0.00901106719217288,0.008999469013501977,cov_diag,36
var,0.8174841919050235,0.011981743170422271,0.01200307149146539,cov_diag,36
A,10123.370128137127,95.04692965266052,96.60490957168012,cov,37
mu,0.1911544321221572,0.008945190409876546,0.008973435020746354,cov,37
var,0.8220120490919672,0.010588601420046188,0.01044157054993205,cov,37
A,10168.930235448926,99.76816827339712,99.77640024711881,cov_diag,37
mu,0.1958232986906284,0.008878362886071661,0.00885635392598593,cov_diag,37
var,0.821006894959275,0.011587199593894386,0.011606325753487768,cov_diag,37
A,10042.373145738122,96.09395879814076,95.54110299403025,cov,38
mu,0.2121471202579519,0.009015018792097242,0.009012230456437096,cov,38
var,0.8131250536385911,0.010666169316519435,0.010676151613886749,cov,38
A,10037.760008849133,99.21534293367922,100.34032049118726,cov_diag,38
mu,0.20994662562898384,0.009043654125167045,0.008918320862507096,cov_diag,38
var,0.813608254231828,0.011878770202958947,0.011802419762965642,cov_diag,38
A,9912.695818846518,95.82670610181846,95.81414401266957,cov,39
mu,0.20957083397277065,0.009170813745314572,0.009168949395406337,cov,39
var,0.8196295134729917,0.010882557431979665,0.010928344548123255,cov,39
A,9891.73802266706,99.80366267498856,99.7393164010826,cov_diag,39
mu,0.21065626077748195,0.009139581504410682,0.009120857365220222,cov_diag,39
var,0.8226561296874719,0.012102944742514988,0.012157263633803154,cov_diag,39
A,9994.935166501049,95.8754687620409,95.7609540233994,cov,40
mu,0.19860576651125914,0.00903670867664586,0.009041822995908725,cov,40
var,0.7945725787659151,0.010684192544674575,0.010729942209176935,cov,40
A,9952.527578228164,99.28556600675428,100.27345779441175,cov_diag,40
mu,0.20178556447302295,0.009079696827647983,0.009011106493305509,cov_diag,40
var,0.7972695251735491,0.011907115399971543,0.012107346981793091,cov_diag,40
A,10011.372618964375,95.63776937505149,95.99141536067249,cov,41
mu,0.21299250366409966,0.009055741989269058,0.009101479764670248,cov,41
var,0.8296849459882544,0.010677878982267958,0.010692166688466755,cov,41
A,10030.686898076212,99.86910383684157,99.67218370647167,cov_diag,41
mu,0.2150943409496543,0.009012636169762674,0.008998998809076982,cov_diag,41
var,0.8272236187917594,0.011728546233412575,0.011774361055572722,cov_diag,41
A,9938.208950961438,95.81823266855842,95.81605628942064,cov,42
mu,0.20525289191762863,0.009107620276744107,0.0091028582410309,cov,42
var,0.8153381358768413,0.01077252756261232,0.010815256946697296,cov,42
A,9927.236589363341,100.95280877987314,98.60654612697336,cov_diag,42
mu,0.2034858065438359,0.009086609419364358,0.009075126985672801,cov_diag,42
var,0.8127107394932874,0.012042454373203948,0.012032553625958578,cov_diag,42
A,9990.180840621451,95.94593895252493,95.69314209146222,cov,43
mu,0.20328750669354836,0.009081868959891723,0.009065829575678763,cov,43
var,0.8218441745383234,0.0107559525023078,0.010787087419590013,cov,43
A,9979.486737982428,99.8042682953223,99.7399989238309,cov_diag,43
mu,0.19985464395415461,0.009035174876633134,0.009038951017776168,cov_diag,43
var,0.8226177587354752,0.01196956030748458,0.012010679470761395,cov_diag,43
A,9934.221124097156,95.80933393509714,95.82108868369654,cov,44
mu,0.21342910089150924,0.009080882389560603,0.009101198536729463,cov,44
var,0.7921003388537836,0.010720471383670103,0.010770040627564068,cov,44
A,9919.99658834979,99.87834283981816,99.66856781427555,cov_diag,44
mu,0.21195028958313838,0.00905664695542112,0.009090993310898849,cov_diag,44
var,0.7928245997539553,0.01191997495682973,0.011970660108220005,cov_diag,44
A,9953.571431066206,95.40890216136616,96.22979284273703,cov,45
mu,0.20426597258528248,0.00913670086450479,0.009033470797504408,cov,45
var,0.8085865380528819,0.010591431877495464,0.010709112415564421,cov,45
A,9957.092827511387,99.77306268645846,99.77211557339793,cov_diag,45
mu,0.2060022707999851,0.009045921499006125,0.00905817233413474,cov_diag,45
var,0.8124517042939912,0.011792409003616687,0.011816557929721822,cov_diag,45
A,9793.042926855342,95.87450616788954,95.76373031425965,cov,46
mu,0.194044080837487,0.009247086308675758,0.009238873338249255,cov,46
var,0.8106574472738675,0.01091634786950934,0.010951766108757569,cov,46
A,9829.639935309497,99.80811012386849,99.73713723098393,cov_diag,46
mu,0.19367936229024219,0.00916092270634111,0.009167443340263932,cov_diag,46
var,0.8068632229729772,0.012148140735406055,0.012195891416191219,cov_diag,46
A,9992.648509229379,95.73673437269507,95.90913582970204,cov,47
mu,0.2088828036977423,0.009068459283335068,0.009066549358837994,cov,47
var,0.8182186501178744,0.010914696102271838,0.010917360672177872,cov,47
A,9969.478354642231,99.77409187470244,99.77019814815851,cov_diag,47
mu,0.209130519986078,0.009045138907271754,0.009049582468237827,cov_diag,47
var,0.8206011538288125,0.012162256570454574,0.012196096945619897,cov_diag,47
A,10063.765296159188,95.75687532351346,95.86754432406201,cov,48
mu,0.22611036348269187,0.00895988197045102,0.008961912661210826,cov,48
var,0.7897754356666429,0.010462765378758048,0.010472173091004663,cov,48
A,10104.196311968388,99.9031276379692,99.64357108944016,cov_diag,48
mu,0.22647252091185124,0.008914092245312491,0.008896930315364296,cov_diag,48
var,0.786848566661355,0.011514256707996502,0.011611164110796903,cov_diag,48
A,10009.968407489914,95.77341828730768,95.86113418408742,cov,49
mu,0.1987870754795271,0.009049740685424898,0.009035808176347008,cov,49
var,0.8134745724813277,0.01065648027257607,0.010676946160894443,cov,49
A,10028.624263541376,99.48454957793999,100.06355515499946,cov_diag,49
mu,0.2013589269678072,0.008999783676276678,0.008973352359999643,cov_diag,49
var,0.812107608590003,0.01185436372931572,0.011857066709545717,cov_diag,49
A,9897.9256631385,96.3401395614535,95.30206564036787,cov,50
mu,0.2057206390525775,0.009093022469927025,0.009184873661868475,cov,50
var,0.8018246117433248,0.010859740855840338,0.010841203848114406,cov,50
A,9924.477696114618,99.794825388709,99.75119699827609,cov_diag,50
mu,0.20654600891937158,0.009074263056966087,0.00907959868625183,cov_diag,50
var,0.8026168902066589,0.012027837157184692,0.012076251777650655,cov_diag,50
A,9938.27425786122,95.45036808864491,96.18884380593752,cov,51
mu,0.19443765047958286,0.009138673889437496,0.00907722784969563,cov,51
var,0.8148001864653966,0.010753229134483126,0.010723359056867013,cov,51
A,9961.780528380896,99.90885467487617,99.63739082433553,cov_diag,51
mu,0.1976854726310184,0.009029483295033149,0.009071027227495441,cov_diag,51
var,0.8149324454387393,0.011922465928906431,0.011939597030884628,cov_diag,51
A,10133.926371138412,95.81126388492437,95.81526440229771,cov,52
mu,0.20504336281398738,0.008920682395349874,0.008917600190458848,cov,52
var,0.7986871762566259,0.010273904330752077,0.010313993434272186,cov,52
A,10153.588584112827,99.80492832562513,99.74016884209935,cov_diag,52
mu,0.19888681761263097,0.008855612629041424,0.008878543700589523,cov_diag,52
var,0.7995628730211611,0.011381246303984035,0.011435331476255486,cov_diag,52
A,9912.13606317286,95.90815891747685,95.73206931309258,cov,53
mu,0.18853999042947722,0.00911823106124522,0.009119306968486313,cov,53
var,0.7987211308031932,0.01081447049738711,0.010880210166682,cov,53
A,9939.24192629846,99.90555963335657,99.64086453726163,cov_diag,53
mu,0.18972386930759255,0.009043075786531652,0.009066831196135104,cov_diag,53
var,0.7967861612257248,0.012092013122072424,0.012056508868504366,cov_diag,53
A,10065.761708452053,95.76888879894722,95.88220554801448,cov,54
mu,0.19704060300376386,0.009069672175694554,0.008952556533721517,cov,54
var,0.8117753731719056,0.010665039089735612,0.010567623412177945,cov,54
A,10043.975842909918,99.57680670144431,99.97553876729025,cov_diag,54
mu,0.20094892913434442,0.00899326937530927,0.008957923382880841,cov_diag,54
var,0.8112424756782084,0.011868725249691594,0.011732130371665091,cov_diag,54
A,10073.87278714945,95.84581190387999,95.7869778393973,cov,55
mu,0.20277844540295714,0.008974951602475169,0.00896930879585094,cov,55
var,0.8055668692601237,0.0105757259691974,0.010617214150993119,cov,55
A,10040.872250145903,99.00281897655948,100.55632364207867,cov_diag,55
mu,0.20379535495496,0.00901936207469312,0.008920490816062242,cov_diag,55
var,0.8035061995436086,0.011698559635412883,0.011896865487187689,cov_diag,55
A,9997.5425929079,96.04696187589646,95.60426756756729,cov,56
mu,0.19945590206425876,0.009055627690587544,0.009086149160711088,cov,56
var,0.811561202378998,0.010793317942931114,0.010642696709648078,cov,56
A,10004.975986199332,99.77389542939191,99.77120732740349,cov_diag,56
mu,0.1995477617127399,0.009009679202421739,0.009013037492804436,cov_diag,56
var,0.8133107331293903,0.01185607971332214,0.011877791043566116,cov_diag,56
A,10056.188541311529,95.8182401029655,95.81371291178931,cov,57
mu,0.1972203466295226,0.00898591993325404,0.0089783931180784,cov,57
var,0.7939877319666412,0.010435800454285158,0.010479153080519452,cov,57
A,10092.405443582207,99.97614677432412,99.58213279532747,cov_diag,57
mu,0.19858836302939906,0.008950577014978579,0.008878572968943841,cov_diag,57
var,0.7920263067682118,0.01169256211871925,0.01149017004365722,cov_diag,57
A,10100.388076858553,95.79808753124895,95.82907733566813,cov,58
mu,0.20769572030066374,0.008966440194798083,0.008961164486803059,cov,58
var,0.8165817691245518,0.010488875935857402,0.010498608221498996,cov,58
A,10140.689895319043,99.77248091326118,99.77274074597125,cov_diag,58
mu,0.20669127016381378,0.008879744565931911,0.008897980738121557,cov_diag,58
var,0.8135590994084194,0.011601716674605746,0.011618037097746758,cov_diag,58
A,9957.627058724865,95.83171238696582,95.80042322116506,cov,59
mu,0.18620475551138876,0.009061729057685186,0.009086670663367234,cov,59
