Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.1977584607339767,0.010130621227533705,cov,0
var,0.8171295022406507,0.012765757366185317,cov,0
mu,0.1977722338920493,0.012753685932170175,cov_diag,0
var,0.8189989269010541,0.016580383213010474,cov_diag,0
mu,0.187724297832746,0.009997696682922299,cov,1
var,0.8025682450588559,0.012533168159912561,cov,1
mu,0.1884907141038221,0.012694271718358177,cov_diag,1
var,0.8002440305978935,0.01668102141003537,cov_diag,1
mu,0.19362285074120678,0.0101993946070629,cov,2
var,0.7836122482280142,0.012975782584717913,cov,2
mu,0.19371822101702144,0.012873394828476006,cov_diag,2
var,0.784625397789183,0.017034890342692132,cov_diag,2
mu,0.21797769028877464,0.010016463357667158,cov,3
var,0.7849736469162066,0.012797625178945655,cov,3
mu,0.21873940411176193,0.012727478575687987,cov_diag,3
var,0.7851746231219243,0.016935620789186825,cov_diag,3
mu,0.18350634505779545,0.010079737679261664,cov,4
var,0.8054065236477816,0.012718291405113763,cov,4
mu,0.1848158843976442,0.012905599240053436,cov_diag,4
var,0.8068817514998514,0.01679289675504269,cov_diag,4
mu,0.19871091364359636,0.009984168068793254,cov,5
var,0.7926930459316194,0.012637033073218224,cov,5
mu,0.19863037834010563,0.012670475324502339,cov_diag,5
var,0.7911371520530167,0.016527383028908466,cov_diag,5
mu,0.20777716628309947,0.010191775108050517,cov,6
var,0.8140182654260665,0.012917874827145006,cov,6
mu,0.20905142667095647,0.012887127685060841,cov_diag,6
var,0.8138021292987795,0.01687907955714509,cov_diag,6
mu,0.19350687008191203,0.009900326341735901,cov,7
var,0.8046855665259093,0.012771250712803502,cov,7
mu,0.1924039360156732,0.012578093831951924,cov_diag,7
var,0.802096910490219,0.017051489723016892,cov_diag,7
mu,0.1859120781057339,0.010164069946726037,cov,8
var,0.8314013867701976,0.012982098353024328,cov,8
mu,0.18706444308490336,0.012889094571724557,cov_diag,8
var,0.8292943059493777,0.01725497085613948,cov_diag,8
mu,0.19538033030444263,0.010009735805735515,cov,9
var,0.804515777008945,0.01278049214151378,cov,9
mu,0.1950065773255165,0.012710376361309794,cov_diag,9
var,0.8038372553554702,0.016946194759542458,cov_diag,9
mu,0.19818347991741017,0.01025409469592661,cov,10
var,0.791051032102405,0.012666556167368328,cov,10
mu,0.19746129819564565,0.012932827665293106,cov_diag,10
var,0.7901757810188248,0.016746439560074846,cov_diag,10
mu,0.20460185067721393,0.009962328363512555,cov,11
var,0.7972618102935872,0.012495850540867826,cov,11
mu,0.20396846191933413,0.012614505526081173,cov_diag,11
var,0.7983230303754953,0.016555825682050253,cov_diag,11
mu,0.1962196363411791,0.010012283754295463,cov,12
var,0.8084932782362713,0.012714354778760768,cov,12
mu,0.19635443656908722,0.012715358869758858,cov_diag,12
var,0.8060621100804195,0.016762968790896206,cov_diag,12
mu,0.19813767687062264,0.009854098627182116,cov,13
var,0.7926755806953628,0.012502346154376216,cov,13
mu,0.19727368696643194,0.012455404866168964,cov_diag,13
var,0.7932105040680942,0.01633400165680872,cov_diag,13
mu,0.2059478222605174,0.010238575018870127,cov,14
var,0.8257640178125429,0.013275077348768908,cov,14
mu,0.20454279485819798,0.012856848851042825,cov_diag,14
var,0.8280118286860492,0.017520494055438623,cov_diag,14
mu,0.18568865870134524,0.009741164176940558,cov,15
var,0.8004448585012012,0.012089355633222321,cov,15
mu,0.18508382229850928,0.012445516088838041,cov_diag,15
var,0.7977898455478679,0.0158136291044833,cov_diag,15
mu,0.21309839692169252,0.009911957390185178,cov,16
var,0.8000697995275,0.012720799934179128,cov,16
mu,0.21289371551218575,0.012619691411333551,cov_diag,16
var,0.7968895291123879,0.01670790128685894,cov_diag,16
mu,0.21997263159323255,0.010067405678643657,cov,17
var,0.8068544329191799,0.012878769768454352,cov,17
mu,0.2201354617821345,0.012750644907901563,cov_diag,17
var,0.8074115853142196,0.016819302966103997,cov_diag,17
mu,0.2193411524851776,0.010078657461007294,cov,18
var,0.8055103598362622,0.01259754863711418,cov,18
mu,0.22027849085238804,0.012696951699337421,cov_diag,18
var,0.8069995419572688,0.016652570362126567,cov_diag,18
mu,0.2044149261339213,0.010072591298847503,cov,19
var,0.7964606896957229,0.0126079714765918,cov,19
mu,0.2022101728775054,0.012636050941545737,cov_diag,19
var,0.796902417138017,0.01655285896496418,cov_diag,19
mu,0.19786719490853746,0.010004741256377592,cov,20
var,0.7947569208649287,0.012593532913489223,cov,20
mu,0.19835831200393728,0.012713225338823306,cov_diag,20
var,0.7928692460192602,0.01647141162873121,cov_diag,20
mu,0.1977261325904287,0.010051391519116016,cov,21
var,0.8091368337098693,0.01302929010347661,cov,21
mu,0.19599841262670886,0.012689863093340185,cov_diag,21
var,0.8081909695970051,0.017284231369534348,cov_diag,21
mu,0.21047867261901337,0.010071540594403749,cov,22
var,0.8213133562597376,0.01267713609199499,cov,22
mu,0.21152187009907264,0.012768141857133344,cov_diag,22
var,0.8198183921056817,0.016661648917641547,cov_diag,22
mu,0.21541639467265994,0.00985830904300387,cov,23
var,0.7944886961490226,0.012663612422354562,cov,23
mu,0.21555585860639193,0.012539666028247989,cov_diag,23
var,0.7938100739279249,0.016712058065679276,cov_diag,23
mu,0.21099336312875314,0.009851878831187122,cov,24
var,0.7783110503509513,0.012411921885908244,cov,24
mu,0.2109021196485379,0.012527142927600595,cov_diag,24
var,0.776788019840984,0.01623050186144094,cov_diag,24
mu,0.21355900098648373,0.01003725806110606,cov,25
var,0.7996952639598748,0.012942919208156276,cov,25
mu,0.21353972210397493,0.012714898654216034,cov_diag,25
var,0.8004354070535462,0.017007450710421645,cov_diag,25
mu,0.20875636905792674,0.010097570146162234,cov,26
var,0.8067931617707899,0.0130082447561882,cov,26
mu,0.209006794076396,0.012767517443649137,cov_diag,26
var,0.8083606977754877,0.01707117910579518,cov_diag,26
mu,0.21989840582644105,0.009882179918880466,cov,27
var,0.7838807464030971,0.012641377729959246,cov,27
mu,0.22214579741143975,0.01255985401108371,cov_diag,27
var,0.7865197071674014,0.016776372285853394,cov_diag,27
mu,0.19449482233767304,0.01003426513715948,cov,28
var,0.8084147415798482,0.012778979074183905,cov,28
mu,0.1955212807091857,0.012689153727351658,cov_diag,28
var,0.8042498330219076,0.01692798022073539,cov_diag,28
mu,0.21703779317781127,0.009862153879428237,cov,29
var,0.8051609578123299,0.01243221437914481,cov,29
mu,0.21663327347062744,0.012572021392701683,cov_diag,29
var,0.8034549195730655,0.016159491140749504,cov_diag,29
mu,0.20361216944307511,0.009980434498823118,cov,30
var,0.8010956096090004,0.01281294382869227,cov,30
mu,0.2023449422427101,0.012672087502592872,cov_diag,30
var,0.8006340588156617,0.01677795092290391,cov_diag,30
mu,0.18975903680451717,0.010140015657523496,cov,31
var,0.8183841007258109,0.01267239803636523,cov,31
mu,0.19030119345998273,0.012785860893644701,cov_diag,31
var,0.8154649849408843,0.01665308107400841,cov_diag,31
mu,0.2092188085164667,0.009846474843948181,cov,32
var,0.7934308650521925,0.012353353813399503,cov,32
mu,0.20892912808701875,0.012558152755430116,cov_diag,32
var,0.79196017685814,0.016347770828083034,cov_diag,32
mu,0.2140195282029901,0.009826431425182395,cov,33
var,0.8043540101783266,0.012636138570770498,cov,33
mu,0.21521095504093551,0.012511851948314449,cov_diag,33
var,0.8039707254206984,0.016702103090233674,cov_diag,33
mu,0.1997281336447548,0.01012816474235273,cov,34
var,0.8174604508971827,0.012969135229257517,cov,34
mu,0.1998947278743837,0.012798800023997052,cov_diag,34
var,0.817242916922799,0.016996893557866877,cov_diag,34
mu,0.19005787498334364,0.010115098950610673,cov,35
var,0.7868856674994004,0.012920276615276905,cov,35
mu,0.19145487307062978,0.012794374640993441,cov_diag,35
var,0.7879941610821435,0.016934300856324067,cov_diag,35
mu,0.20126147272156814,0.009970562521974036,cov,36
var,0.8059619699599799,0.012630982618679384,cov,36
mu,0.2012947853040558,0.012623519533235384,cov_diag,36
var,0.8026266750876065,0.016704392185440786,cov_diag,36
mu,0.19987895626225308,0.009857168305984109,cov,37
var,0.8094281158248653,0.01250082321525997,cov,37
mu,0.19994853068176952,0.012441022969732542,cov_diag,37
var,0.8109437364529438,0.016395363022892056,cov_diag,37
mu,0.21458623299221252,0.009953864584415151,cov,38
var,0.8013589971246964,0.012632607891606877,cov,38
mu,0.21686836034181603,0.012673031840368918,cov_diag,38
var,0.7995626684904377,0.01653324135489554,cov_diag,38
mu,0.22191556076536995,0.0101741928598116,cov,39
var,0.8072929809840625,0.013001867854894199,cov,39
mu,0.22137886806495327,0.0128236960911188,cov_diag,39
var,0.808376004849997,0.016890153469683297,cov_diag,39
mu,0.2090855608151504,0.010052898931379013,cov,40
var,0.7880115689853051,0.012793224311373438,cov,40
mu,0.2080088545728109,0.012688769832090812,cov_diag,40
var,0.7860279457862777,0.016787565499806777,cov_diag,40
mu,0.22058644421102844,0.010059073606971957,cov,41
var,0.8178476430841998,0.012725979497477535,cov,41
mu,0.2187502718184291,0.012660374554930713,cov_diag,41
var,0.8149775566995822,0.01641542596122427,cov_diag,41
mu,0.2060559240602607,0.010098003601304206,cov,42
var,0.7957132980719899,0.012699806974361032,cov,42
mu,0.2067681183319428,0.012790488691149729,cov_diag,42
var,0.7929870461824823,0.016711050867948354,cov_diag,42
mu,0.2015994450988382,0.010038348972458392,cov,43
var,0.8065429425028912,0.012821358978945884,cov,43
mu,0.20110980655732252,0.012658516743309759,cov_diag,43
var,0.8065073077657613,0.01692523810639613,cov_diag,43
mu,0.21979691600346787,0.010057430047833105,cov,44
var,0.7795724028402508,0.012696143868060394,cov,44
mu,0.2208213525762884,0.012819863091474613,cov_diag,44
var,0.7789699588459836,0.016542610325295713,cov_diag,44
mu,0.21428163371137995,0.010005707865491575,cov,45
var,0.8001308061761352,0.012740929106463897,cov,45
mu,0.21446555590598834,0.012777562841406555,cov_diag,45
var,0.796686319537679,0.01678704597381993,cov_diag,45
mu,0.19917543843586355,0.010144150935512837,cov,46
var,0.7964177964709541,0.01297689414779139,cov,46
mu,0.1984110502816863,0.012875326075891183,cov_diag,46
var,0.7926875937288285,0.017030067648913166,cov_diag,46
mu,0.21783725355410172,0.010045259011095002,cov,47
var,0.8020238946491878,0.012906884003838399,cov,47
mu,0.21743074381422137,0.012747696541281554,cov_diag,47
var,0.7992727314728809,0.01698727283007673,cov_diag,47
mu,0.23352348629532804,0.0098408953039771,cov,48
var,0.776472499928749,0.012539364891826658,cov,48
mu,0.23395988213086352,0.0125097380746436,cov_diag,48
var,0.7762938987094937,0.016534134026227998,cov_diag,48
mu,0.2034639251837956,0.010054251307641532,cov,49
var,0.7972919851348609,0.012561208146789153,cov,49
mu,0.20644651129913544,0.012667030510700998,cov_diag,49
var,0.8007300811125737,0.016700112582260812,cov_diag,49
mu,0.21015819809550643,0.010056650316316305,cov,50
var,0.7926418488711967,0.012642556154445896,cov,50
mu,0.21146062279269154,0.012801590061487423,cov_diag,50
var,0.7899155354961038,0.016677485197194992,cov_diag,50
mu,0.20075429364675282,0.010054004407542077,cov,51
var,0.8025538204162932,0.012765101266481584,cov,51
mu,0.200611742700759,0.012796588170460005,cov_diag,51
var,0.8007180614183349,0.016782674993622328,cov_diag,51
mu,0.20122782318608742,0.009895563561384154,cov,52
var,0.7935329538865158,0.012301101476812078,cov,52
mu,0.20189010576127864,0.012496313033569018,cov_diag,52
var,0.7915407345096722,0.016151375179715575,cov_diag,52
mu,0.19118335452860988,0.010063474515096432,cov,53
var,0.785246749332816,0.012876393979191094,cov,53
mu,0.19311063998535077,0.012792492749792758,cov_diag,53
var,0.7852656262021814,0.017096392733610407,cov_diag,53
mu,0.2090976136060242,0.009983168332909444,cov,54
var,0.7973646703563385,0.012668686212729794,cov,54
mu,0.2073272207079339,0.012646960037137127,cov_diag,54
var,0.7974217307718459,0.01656364482763904,cov_diag,54
mu,0.20784414654287203,0.009931894705906446,cov,55
var,0.793873540444027,0.012703948039767187,cov,55
mu,0.20765273815614435,0.012625714536916981,cov_diag,55
var,0.7923233601491851,0.01671957349692709,cov_diag,55
mu,0.20161038901479814,0.010040202646783077,cov,56
var,0.8054665693061314,0.012690869694909212,cov,56
mu,0.20185831077632255,0.01263699929345249,cov_diag,56
var,0.8068573954356492,0.016611081737504883,cov_diag,56
mu,0.20551112974364824,0.009876155695166826,cov,57
var,0.7788994480522814,0.012406938158892175,cov,57
mu,0.20488977757403062,0.012565010683372055,cov_diag,57
var,0.7793210470091868,0.016311478368215573,cov_diag,57
mu,0.21327358440160338,0.009831034545548302,cov,58
var,0.7983054996140363,0.012331214070423773,cov,58
mu,0.21553698077899763,0.012541296509177298,cov_diag,58
var,0.7965340939085663,0.016108554698616016,cov_diag,58
mu,0.18855661842677415,0.010035415576831599,cov,59
var,0.7986550944679606,0.012723452713235836,cov,59
mu,0.187292130645007,0.01275175124655809,cov_diag,59
var,0.795748519450285,0.01684140396559424,cov_diag,59
mu,0.21490641903794389,0.010133627881618718,cov,60
var,0.8301807654146144,0.012866285385139248,cov,60
mu,0.21429244942296086,0.012826941155214457,cov_diag,60
var,0.8279301891035066,0.01679216389089557,cov_diag,60
mu,0.22806024329636243,0.009841325145801421,cov,61
var,0.8092629812989025,0.012539150931461969,cov,61
mu,0.22534401214548636,0.012496230365965486,cov_diag,61
var,0.8087435437338235,0.016383282114752845,cov_diag,61
mu,0.20653905817355206,0.009895216616440002,cov,62
var,0.7824262353054104,0.01257324356163093,cov,62
mu,0.20731408831953807,0.012580736162043771,cov_diag,62
var,0.7783852599190786,0.016525289109719003,cov_diag,62
mu,0.21175768006682602,0.009906568313629335,cov,63
var,0.7906256983637922,0.01247651825493443,cov,63
mu,0.21164155280047084,0.012656210320246034,cov_diag,63
var,0.7881026278553505,0.016531043334542302,cov_diag,63
mu,0.20257883246943503,0.010208788771120192,cov,64
var,0.8040770917250435,0.013385974163709773,cov,64
mu,0.20258968921798032,0.012906935540550585,cov_diag,64
var,0.8030510197643836,0.017680406755132133,cov_diag,64
mu,0.212697376727311,0.0100981249790168,cov,65
var,0.7934295513193329,0.012599559691451632,cov,65
mu,0.2138870120699155,0.012852264849065648,cov_diag,65
var,0.7911950328395163,0.016563273235132674,cov_diag,65
mu,0.18294161760486044,0.009993298085640168,cov,66
var,0.7732031095775133,0.012467545339303214,cov,66
mu,0.18369287356112063,0.012681543449882253,cov_diag,66
var,0.7758474155511489,0.016397474984153837,cov_diag,66
mu,0.22125610551449088,0.009871441879407493,cov,67
var,0.8068697771316012,0.01278343142690734,cov,67
mu,0.22008198288395736,0.012530749299229763,cov_diag,67
var,0.804600502732107,0.01685299689254054,cov_diag,67
mu,0.21178935926008519,0.010097838869031036,cov,68
var,0.810989011626841,0.012910889908853924,cov,68
mu,0.21111542635663477,0.012791196089361667,cov_diag,68
var,0.8085874906134287,0.016854541399324886,cov_diag,68
mu,0.22313417401337635,0.009927824568623626,cov,69
var,0.8035907871945244,0.012516906059501514,cov,69
mu,0.224279203337827,0.012637323362989237,cov_diag,69
var,0.8030086557336026,0.016378007050166846,cov_diag,69
mu,0.21171466885657553,0.010151819880955475,cov,70
var,0.7676785017652581,0.012735490498647575,cov,70
mu,0.21173187667031085,0.012881380085331745,cov_diag,70
var,0.7698850854139567,0.016656224473416765,cov_diag,70
mu,0.20369585557958983,0.009966168245530753,cov,71
var,0.782349284114675,0.012671070221333893,cov,71
mu,0.20363523125990798,0.012681503356301178,cov_diag,71
var,0.7840236846693192,0.01681901768321259,cov_diag,71
mu,0.1894471227127744,0.010214916080035975,cov,72
var,0.7965384487330054,0.012841139407312773,cov,72
mu,0.190096419283884,0.012942520482678166,cov_diag,72
var,0.7969327845240877,0.0170154020016654,cov_diag,72
mu,0.21027203960147411,0.010120715988250147,cov,73
var,0.8049426555628203,0.012557684278341459,cov,73
mu,0.2124733026821554,0.012770725234417777,cov_diag,73
var,0.8052411983937613,0.016561391049527967,cov_diag,73
mu,0.23901538636500036,0.010133801186278869,cov,74
var,0.7916662826105401,0.01293832181973769,cov,74
mu,0.23956173392816862,0.012955456550121251,cov_diag,74
var,0.7887128535740273,0.01681622570861884,cov_diag,74
mu,0.20848354061094537,0.009920404468037766,cov,75
var,0.8085801169194893,0.01252136866568868,cov,75
mu,0.20957687896438146,0.012597389403583568,cov_diag,75
var,0.8082236527283807,0.01633909391120604,cov_diag,75
mu,0.21430596659371062,0.00995535105308587,cov,76
var,0.7957658309176224,0.012413254801936778,cov,76
mu,0.21606531594886777,0.012708628498120225,cov_diag,76
var,0.793412550177329,0.01638723622318308,cov_diag,76
mu,0.2218228121889888,0.010062398992723154,cov,77
var,0.7977118111524831,0.012531238480640344,cov,77
mu,0.22354906004446148,0.012791233505318035,cov_diag,77
var,0.797198979883503,0.01651423828159106,cov_diag,77
mu,0.19554441715272322,0.009949793006392224,cov,78
var,0.7927563681025606,0.01267655929962382,cov,78
mu,0.19359533879052765,0.01254263473880063,cov_diag,78
var,0.7885765856305755,0.01672527756537525,cov_diag,78
mu,0.21222539464598184,0.010049973080512586,cov,79
var,0.8096577668595594,0.012755861865930295,cov,79
mu,0.21158660933608645,0.012743953380916053,cov_diag,79
var,0.8073184010305532,0.01655802310787647,cov_diag,79
mu,0.20613678676016178,0.010105497206766581,cov,80
var,0.7953859264280043,0.01268118914128217,cov,80
mu,0.20668793734501234,0.012728475471837626,cov_diag,80
var,0.7951626962624645,0.01666606316521145,cov_diag,80
mu,0.21055871868044804,0.009877104377067786,cov,81
var,0.8068530416655967,0.01251931079432876,cov,81
mu,0.2097822972991837,0.012575992221499676,cov_diag,81
var,0.8055826782539095,0.01642037380412661,cov_diag,81
mu,0.20880480782812288,0.009862949849824847,cov,82
var,0.8015791532195258,0.012214378078443305,cov,82
mu,0.2105496179368828,0.012509882917209345,cov_diag,82
var,0.801228086212038,0.015934165877448586,cov_diag,82
mu,0.19629542253401228,0.010118492826667245,cov,83
var,0.8028588307767093,0.012934422199015335,cov,83
mu,0.1950705185986969,0.012776533317720584,cov_diag,83
var,0.8043240247501914,0.01714397504110041,cov_diag,83
mu,0.20501673516958702,0.01014783878138705,cov,84
var,0.7998023601580043,0.01298808435155367,cov,84
mu,0.20471320370456647,0.012854929579494873,cov_diag,84
var,0.7989902314983937,0.017045883622929883,cov_diag,84
mu,0.20731656891803718,0.010119187163359137,cov,85
var,0.8126698988739389,0.012764075897865426,cov,85
mu,0.20829945183566356,0.012851805095326293,cov_diag,85
var,0.8110326143303092,0.01664333109981884,cov_diag,85
mu,0.2149741031270986,0.00997814850244884,cov,86
var,0.800537174505599,0.012583533845440923,cov,86
mu,0.2154909257240975,0.01278560291472347,cov_diag,86
var,0.7966522441579267,0.01656608762391497,cov_diag,86
mu,0.20308976795582298,0.010163218928244601,cov,87
var,0.8126791983003708,0.01326030373680515,cov,87
mu,0.2014474575480127,0.012903620271485776,cov_diag,87
var,0.8087373833850844,0.01776538902534026,cov_diag,87
mu,0.20905357385348128,0.010196696322622895,cov,88
var,0.7974044047280754,0.012919323863310338,cov,88
mu,0.20943928491042002,0.012933901761568802,cov_diag,88
var,0.7969970197918081,0.016881305292819313,cov_diag,88
mu,0.2211216588524443,0.01003724323423621,cov,89
