Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.18969827372839518,0.012519503791430625,cov,0
var,0.833210650810081,0.018958967488305636,cov,0
mu,0.19234438833931833,0.018730871406389744,cov_diag,0
var,0.8432529393219661,0.0249159509214985,cov_diag,0
mu,0.17910454633649067,0.012341298812082154,cov,1
var,0.8341025920728532,0.01917200180514271,cov,1
mu,0.1740477876109707,0.018838954530074944,cov_diag,1
var,0.8272691484727829,0.025771371278495332,cov_diag,1
mu,0.19512889433106753,0.012598562525510329,cov,2
var,0.8095229342684683,0.019108373904293405,cov,2
mu,0.19457165232080198,0.01894420364277973,cov_diag,2
var,0.8148338865970621,0.0253965798446455,cov_diag,2
mu,0.20647799242663417,0.012503623493586524,cov,3
var,0.78895777682809,0.018987917309760072,cov,3
mu,0.20539702742649787,0.018516331896322274,cov_diag,3
var,0.7893085186157651,0.025290265789075297,cov_diag,3
mu,0.1752682935424221,0.012666453888941765,cov,4
var,0.8238856675378163,0.019066286812446074,cov,4
mu,0.17325782177772353,0.019049688599697745,cov_diag,4
var,0.8192624556537647,0.025304032246119604,cov_diag,4
mu,0.20008272583210043,0.012365132401583753,cov,5
var,0.8172712217376323,0.01899168379832918,cov,5
mu,0.20101307993572987,0.0186956709972716,cov_diag,5
var,0.8195656775980873,0.025487801239885942,cov_diag,5
mu,0.20884207428856982,0.01271345182839272,cov,6
var,0.8534369599681609,0.019812179332790922,cov,6
mu,0.21009579884865623,0.019107155581001456,cov_diag,6
var,0.8533507545380439,0.026479862739677562,cov_diag,6
mu,0.19529848310657055,0.01228879616516959,cov,7
var,0.8295600460112205,0.018897306022712855,cov,7
mu,0.19236830986396872,0.01834440238529941,cov_diag,7
var,0.8317116243065211,0.02532098936539598,cov_diag,7
mu,0.20019796814881352,0.012602697852186668,cov,8
var,0.8397397482625162,0.019313979823812808,cov,8
mu,0.20093119216899466,0.01881914740396073,cov_diag,8
var,0.8448741282300359,0.025629269851264,cov_diag,8
mu,0.17736020675149375,0.01233997215397186,cov,9
var,0.8318040421249301,0.019198908654967088,cov,9
mu,0.17318666630483964,0.01874925081787944,cov_diag,9
var,0.826307618049744,0.025540005076349518,cov_diag,9
mu,0.20409548060977198,0.01262134582679937,cov,10
var,0.8158121798821301,0.019142145634751646,cov,10
mu,0.20728224456973385,0.01887396344363697,cov_diag,10
var,0.8225337502738551,0.025285004323912754,cov_diag,10
mu,0.20723456903840987,0.012262750311933617,cov,11
var,0.8251756545590426,0.01882652896609627,cov,11
mu,0.20009632405446948,0.01870701226311595,cov_diag,11
var,0.815730702478842,0.02525507908096335,cov_diag,11
mu,0.18356995818900562,0.012481598013686989,cov,12
var,0.8414019437447231,0.019533644297026278,cov,12
mu,0.1886764038767405,0.018788860638294314,cov_diag,12
var,0.8516620783896273,0.02623616733839444,cov_diag,12
mu,0.20089250137471193,0.012156439898050162,cov,13
var,0.8039028172721946,0.018667639429704515,cov,13
mu,0.20078425281804255,0.018062828778673212,cov_diag,13
var,0.808582239267147,0.02479013043204039,cov_diag,13
mu,0.2037114033080863,0.012598140518489075,cov,14
var,0.8201656242567102,0.019381419196824342,cov,14
mu,0.20958062650444645,0.01873765322316843,cov_diag,14
var,0.8299323050240468,0.025838366501732282,cov_diag,14
mu,0.17497812315663766,0.012153767117878425,cov,15
var,0.804013599128299,0.018499951129105446,cov,15
mu,0.17843916349753175,0.018017940569706875,cov_diag,15
var,0.8117867639877928,0.024762327486320176,cov_diag,15
mu,0.19765634539615323,0.012365426371010516,cov,16
var,0.8274030756883398,0.019625281626981208,cov,16
mu,0.20459886476100886,0.01857284342073689,cov_diag,16
var,0.8326766400814067,0.026876006640622833,cov_diag,16
mu,0.20821314799015045,0.012507056366864262,cov,17
var,0.8319755335659856,0.019675306091454393,cov,17
mu,0.21630730681576232,0.01871073024150578,cov_diag,17
var,0.8406600621278033,0.026732361353762144,cov_diag,17
