Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.18525595881591503,0.015026655874572638,cov,0
var,0.833831110011648,0.022513270684298783,cov,0
mu,0.1942321238962554,0.024732924391891006,cov_diag,0
var,0.8389224730811432,0.028764751073453054,cov_diag,0
mu,0.18369103369587808,0.014979032515678541,cov,1
var,0.8584899591002672,0.0228489744634493,cov,1
mu,0.16631123808144418,0.025685388802551376,cov_diag,1
var,0.8353691255655353,0.030123825057517546,cov_diag,1
mu,0.20542504894281413,0.015095146186481844,cov,2
var,0.8489944855634559,0.022999325852909615,cov,2
mu,0.1944132483546843,0.02497586754571697,cov_diag,2
var,0.8444053551199335,0.02928723967011203,cov_diag,2
mu,0.19851841462148687,0.01488696319420774,cov,3
var,0.7983585432484455,0.02294266353397637,cov,3
mu,0.20133404720642586,0.024115957130515602,cov_diag,3
var,0.8022651846919144,0.028785896969592776,cov_diag,3
mu,0.1783780143723646,0.015102222416925996,cov,4
var,0.8314823773548085,0.02281502873589128,cov,4
mu,0.17832427687784616,0.02521684227281835,cov_diag,4
var,0.8243946397703601,0.029375585761774254,cov_diag,4
mu,0.20000298367433197,0.014902165452084622,cov,5
var,0.8198814221468412,0.022397393905890933,cov,5
mu,0.19768589431404746,0.024803036693040525,cov_diag,5
var,0.8126557714455886,0.02876836570681829,cov_diag,5
mu,0.2236974641912846,0.015226612992243982,cov,6
var,0.8796346345594689,0.023006527569974553,cov,6
mu,0.215942626097203,0.025069917412991964,cov_diag,6
var,0.8718366939990041,0.029285188088837177,cov_diag,6
mu,0.18902906119412669,0.01467631329954984,cov,7
var,0.8101121809080575,0.02244221771433385,cov,7
mu,0.1820974370530398,0.024164741543946617,cov_diag,7
var,0.8041368631611981,0.0286267719283286,cov_diag,7
mu,0.19616290710535622,0.01494782491302245,cov,8
var,0.8496716516884755,0.023183028819001486,cov,8
mu,0.2032397290826729,0.02417397027414237,cov_diag,8
var,0.8633200097836725,0.029283791984868683,cov_diag,8
mu,0.17423719833024953,0.014959575109387951,cov,9
var,0.8297891842838068,0.022974653924628604,cov,9
mu,0.16236689410340163,0.025056251970321644,cov_diag,9
var,0.8097300453707219,0.02967351499623495,cov_diag,9
mu,0.2067082622282101,0.01517939158640304,cov,10
var,0.8255819243423413,0.0231052317256081,cov,10
mu,0.20867433223205387,0.024864667024055594,cov_diag,10
var,0.829779256537837,0.029073393196721826,cov_diag,10
mu,0.19553297850522072,0.014797656246997274,cov,11
var,0.8318804597608872,0.022597964449330488,cov,11
mu,0.17274229185006806,0.024952678526127776,cov_diag,11
var,0.8084500700473268,0.02926410313099282,cov_diag,11
mu,0.18245054263044075,0.01501205626133405,cov,12
var,0.8440114326912146,0.022808476915570523,cov,12
mu,0.17470650383365738,0.025411583683965316,cov_diag,12
var,0.8299199155785985,0.029305371155126134,cov_diag,12
mu,0.19861360650068288,0.014627616397911918,cov,13
var,0.8038796136280615,0.022434988818813832,cov,13
mu,0.20054350012280456,0.024190347839753233,cov_diag,13
var,0.8029285501467955,0.028625022577632005,cov_diag,13
mu,0.2067412816731367,0.015130632987797793,cov,14
var,0.8401604109454441,0.02334555188123597,cov,14
mu,0.21690901908484397,0.02507704952342718,cov_diag,14
var,0.8407891448278841,0.030127819573179115,cov_diag,14
mu,0.17118364221940605,0.014540591808020567,cov,15
var,0.8056242958589491,0.022229722082484783,cov,15
mu,0.1771628522338129,0.023579187586911313,cov_diag,15
var,0.8140989571040008,0.027985911442564817,cov_diag,15
mu,0.19818471168822743,0.01491181250191141,cov,16
var,0.861281910472661,0.02382863047267507,cov,16
mu,0.21194449733830426,0.025042874819047076,cov_diag,16
