Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19439951887002307,0.01191411349694198,cov,0
var,0.83319703975425,0.01775734032272006,cov,0
mu,0.195447640546488,0.016573750285545388,cov_diag,0
var,0.8428342944344207,0.023177215012764946,cov_diag,0
mu,0.1807604270754694,0.011738971610812178,cov,1
var,0.8257265510282116,0.017860114807019597,cov,1
mu,0.17824207555172059,0.0166119940116182,cov_diag,1
var,0.817951701073986,0.023699735197377003,cov_diag,1
mu,0.19508980257578717,0.011945713325150369,cov,2
var,0.813624493472269,0.017708904309397918,cov,2
mu,0.1956286629242777,0.01673703050841233,cov_diag,2
var,0.8154118125386467,0.023519872620463754,cov_diag,2
mu,0.20745861561764406,0.01173303677264935,cov,3
var,0.7906177576428157,0.017651269502452088,cov,3
mu,0.20794430518865234,0.01639045089213364,cov_diag,3
var,0.7880922948703659,0.023428881330491643,cov_diag,3
mu,0.17420324031649567,0.011885148664470338,cov,4
var,0.818420521986471,0.017771158506214326,cov,4
mu,0.1735921129938987,0.016681137963884568,cov_diag,4
var,0.8185643547453442,0.023098671119220603,cov_diag,4
mu,0.196460483176631,0.011689390836764287,cov,5
var,0.8055082923469967,0.0174342674909797,cov,5
mu,0.19796832052168864,0.016367012139329336,cov_diag,5
var,0.8089312327783919,0.02322007765727939,cov_diag,5
mu,0.20720387837533807,0.01199501265271701,cov,6
var,0.8388919802830972,0.018466308458303136,cov,6
mu,0.20808387034373296,0.016846604213640058,cov_diag,6
var,0.8352167542080905,0.024490617602319333,cov_diag,6
mu,0.18771745676634405,0.011623863303218828,cov,7
var,0.8133229164338147,0.017469509818998186,cov,7
mu,0.18745794768522603,0.016221600057443712,cov_diag,7
var,0.8090111556974756,0.02319315749918893,cov_diag,7
mu,0.19707969811263673,0.011928289718156116,cov,8
var,0.8366957560381655,0.01809816105382924,cov,8
mu,0.19722596847870133,0.016650340406869857,cov_diag,8
var,0.8396078671990846,0.023631807308024683,cov_diag,8
mu,0.17938334360712777,0.011748682195321842,cov,9
var,0.818767488001016,0.01781694832130533,cov,9
mu,0.17906467494895706,0.016481718909666834,cov_diag,9
var,0.8138943269575754,0.023278273271175837,cov_diag,9
mu,0.2056836581883468,0.01190417792160422,cov,10
var,0.8126442236886786,0.017871660086823334,cov,10
mu,0.2072679517747117,0.01670835563205201,cov_diag,10
var,0.8171985809877838,0.023677622565553544,cov_diag,10
mu,0.20083800289458337,0.011597129694304011,cov,11
var,0.8171049364140025,0.017267581565595096,cov,11
mu,0.19694158772677084,0.0163719627318984,cov_diag,11
var,0.8102245205663527,0.023023973650768557,cov_diag,11
mu,0.18808234701018303,0.011832179898267127,cov,12
var,0.8303763239797392,0.018099737325125546,cov,12
mu,0.18971778541686138,0.016562155178804185,cov_diag,12
var,0.8316143724475512,0.02423476187239134,cov_diag,12
mu,0.19499044170898824,0.011580441892406049,cov,13
var,0.8132519207665039,0.017271956543012598,cov,13
mu,0.19722817705518603,0.016027967511073323,cov_diag,13
var,0.816489258710402,0.023007761070055553,cov_diag,13
mu,0.20752749486460384,0.011855335711912602,cov,14
var,0.8260397617644101,0.018247203850280183,cov,14
mu,0.2138182989127986,0.016777180780119538,cov_diag,14
var,0.8325462494108333,0.02428105729115924,cov_diag,14
mu,0.1741986659803982,0.011635206703370085,cov,15
var,0.8050718061662501,0.017375801410118883,cov,15
mu,0.1757492434575394,0.016051444515687942,cov_diag,15
var,0.8140713345942215,0.023140372584044763,cov_diag,15
mu,0.196056837979746,0.01168789018434709,cov,16
var,0.817554520736306,0.01793210159199675,cov,16
mu,0.19808807396012154,0.01631946401861556,cov_diag,16
var,0.8177757730495625,0.023833096075011575,cov_diag,16
mu,0.21223259517897394,0.011721343089112162,cov,17
var,0.8135392191218676,0.01795573297684136,cov,17
mu,0.21293016321614525,0.01645018814768004,cov_diag,17
var,0.8167761813869506,0.02389499415623102,cov_diag,17
mu,0.2246610946789656,0.01156657478334927,cov,18
var,0.8042013055873365,0.017432706816741826,cov,18
mu,0.2256216749639181,0.01629200045296162,cov_diag,18
var,0.8071633372083677,0.02305155375835848,cov_diag,18
mu,0.1876666592845203,0.011699612658138405,cov,19
var,0.7895281313973265,0.01780682873462569,cov,19
mu,0.19007252598538704,0.01630983608658625,cov_diag,19
var,0.7928169372165015,0.02395418520670163,cov_diag,19
mu,0.19791526658462785,0.011753629107676052,cov,20
var,0.8125005057130644,0.017489790805222602,cov,20
mu,0.1956244561638431,0.016496247171492614,cov_diag,20
var,0.8097062049136707,0.023253436883626393,cov_diag,20
mu,0.1927906892653351,0.011774545036061011,cov,21
var,0.8239349640133125,0.017897806795368808,cov,21
mu,0.192718063935286,0.016495425363839623,cov_diag,21
var,0.8254398051552617,0.02372712577435005,cov_diag,21
mu,0.20182863718783453,0.011861765861009371,cov,22
var,0.8442825201340985,0.018128335955918676,cov,22
mu,0.20222000337100163,0.016620276398587222,cov_diag,22
var,0.8450717497835498,0.024148452173703205,cov_diag,22
mu,0.20844273211269285,0.01149702559973659,cov,23
var,0.8294654701772923,0.017645444688388374,cov,23
mu,0.21076575321104196,0.016219661888014162,cov_diag,23
var,0.8345816159662136,0.02359110872913087,cov_diag,23
mu,0.2118861386985931,0.01153336026388745,cov,24
var,0.7963604712048845,0.017384923057911252,cov,24
mu,0.21636578574877116,0.016057800528002323,cov_diag,24
var,0.8032986441601855,0.022992735226551306,cov_diag,24
mu,0.21523370613777723,0.01173037565374907,cov,25
var,0.7948146922882641,0.01763646154399599,cov,25
mu,0.21466629734663875,0.01630415196806319,cov_diag,25
var,0.7993193887322273,0.0232083541925983,cov_diag,25
mu,0.21389028349232111,0.01176733563642215,cov,26
var,0.8008876426070743,0.01770808628990772,cov,26
mu,0.213080145266981,0.016488288966870254,cov_diag,26
var,0.8022592162385088,0.023383683166543028,cov_diag,26
mu,0.2226395310076307,0.011470751591795702,cov,27
var,0.7916821466976149,0.01734084245930856,cov,27
mu,0.221802793481138,0.01606878126318053,cov_diag,27
var,0.7908057318459141,0.022958795661963325,cov_diag,27
mu,0.1969253914434775,0.0117472955027306,cov,28
var,0.8178425954962971,0.017350302997936544,cov,28
mu,0.1938494331576883,0.016501663207930173,cov_diag,28
var,0.8153705929893846,0.02298891626951037,cov_diag,28
mu,0.210563960470991,0.011562978249277822,cov,29
var,0.7914594002262224,0.017058180860357725,cov,29
mu,0.20739121961530038,0.01635025987870702,cov_diag,29
var,0.7925607434451474,0.022195994125024397,cov_diag,29
mu,0.19873763230128244,0.011772652605419858,cov,30
var,0.8237049738035488,0.017905228791646938,cov,30
mu,0.19541197257791515,0.016510224281963713,cov_diag,30
var,0.8201105768082788,0.023881555018638513,cov_diag,30
mu,0.18880505701795694,0.011862723589855404,cov,31
var,0.8265315533939891,0.017923440269547064,cov,31
mu,0.1915559393484688,0.016567527127439693,cov_diag,31
var,0.8311575805460734,0.023560765395946006,cov_diag,31
mu,0.2007082210670846,0.011591528513278127,cov,32
var,0.8171454847883578,0.017655920137887866,cov,32
