Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19886872606287537,0.010246710802226423,cov,0
var,0.8149079066568587,0.012987942912258849,cov,0
mu,0.19858060492983368,0.01344880719725695,cov_diag,0
var,0.8172315242649255,0.01687897935053777,cov_diag,0
mu,0.18866144864539375,0.010203733353969343,cov,1
var,0.800414576022962,0.012765424207026664,cov,1
mu,0.18737094246628255,0.01344274989246191,cov_diag,1
var,0.7949907369540348,0.016885563247466977,cov_diag,1
mu,0.19853312612042906,0.01035357567669864,cov,2
var,0.7779681542148581,0.013103874743541083,cov,2
mu,0.19908107270871983,0.013575777112208745,cov_diag,2
var,0.7801203169300044,0.017205405146869742,cov_diag,2
mu,0.21862930955578105,0.010168969210448861,cov,3
var,0.778432120658448,0.01312453727022096,cov,3
mu,0.21505907121176798,0.013350323834155365,cov_diag,3
var,0.7784781012345042,0.017413116687933793,cov_diag,3
mu,0.18576087364370747,0.01026481627202302,cov,4
var,0.8083653217631613,0.01297491136955468,cov,4
mu,0.18530043085150702,0.013595428485357802,cov_diag,4
var,0.80747929573794,0.017018139288304354,cov_diag,4
mu,0.205127358919478,0.010163242909819207,cov,5
var,0.788374033681537,0.012751846482257106,cov,5
mu,0.20238037426916874,0.013371968294298868,cov_diag,5
var,0.7855034408012287,0.0167810299803296,cov_diag,5
mu,0.21144293129537792,0.010408800404450226,cov,6
var,0.8180775073153109,0.013286924362717181,cov,6
mu,0.2117491214372261,0.013670648139476807,cov_diag,6
var,0.8134343328288125,0.017220747470505365,cov_diag,6
mu,0.1964767822793035,0.010060769394410168,cov,7
var,0.7965627788600763,0.012776574210384516,cov,7
mu,0.19152160549510727,0.013271430591842255,cov_diag,7
var,0.7951664772399499,0.01704387255782164,cov_diag,7
mu,0.19749886020726268,0.010315892074527381,cov,8
var,0.8214952665026682,0.013239090537693392,cov,8
mu,0.19427501870750413,0.013609762983522412,cov_diag,8
var,0.8179579639774425,0.017361381094341332,cov_diag,8
mu,0.1938591694297388,0.010166299765020098,cov,9
var,0.8032397983973429,0.01309624609884408,cov,9
mu,0.19168127187881853,0.013423200038377561,cov_diag,9
var,0.8015485947233953,0.017223252738778536,cov_diag,9
