Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.18241369830283777,0.01302750014099766,cov,0
var,0.8333643189906383,0.020027336848756856,cov,0
mu,0.18835204823100266,0.02013098262070876,cov_diag,0
var,0.8459246025911566,0.025818750717159753,cov_diag,0
mu,0.17684605876252754,0.012937413879886086,cov,1
var,0.8442316111312993,0.020472480854677507,cov,1
mu,0.1716388269840417,0.020328279351998952,cov_diag,1
var,0.8349135455402983,0.02721754765069424,cov_diag,1
mu,0.1975093297681743,0.013130994112874722,cov,2
var,0.8143001217479956,0.020520012821438414,cov,2
mu,0.19524156788507957,0.02043252828321488,cov_diag,2
var,0.8166226738210343,0.026752560111291922,cov_diag,2
mu,0.2046786865537758,0.012880364755644847,cov,3
var,0.7877035396823915,0.020310595351900395,cov,3
mu,0.20331546378255402,0.019886103698205055,cov_diag,3
var,0.7858219757437844,0.026436436910834964,cov_diag,3
mu,0.1738763559132371,0.013055962785273108,cov,4
var,0.8334929804026607,0.020340270512124357,cov,4
mu,0.17181630601912265,0.020507406309237024,cov_diag,4
var,0.836674814651994,0.026593658609858323,cov_diag,4
mu,0.20431371203752374,0.012840049705882496,cov,5
var,0.8234149361438826,0.020128409279320986,cov,5
mu,0.20874768497327426,0.020142604054643302,cov_diag,5
var,0.8246786959137332,0.02636823104676494,cov_diag,5
mu,0.2084868866332711,0.013222905119358601,cov,6
var,0.8623160496229233,0.021139815911759643,cov,6
mu,0.20842053993363757,0.02042508729025093,cov_diag,6
var,0.8638850025834163,0.027520780154059024,cov_diag,6
mu,0.19306342481806057,0.012775699698148624,cov,7
var,0.8275460819358748,0.020170647470798393,cov,7
mu,0.1913552685576402,0.019657346392621965,cov_diag,7
var,0.8294596732514392,0.026301033727092152,cov_diag,7
mu,0.19913320187753883,0.0130934605199926,cov,8
var,0.8421767014433871,0.020513509696362606,cov,8
mu,0.2009851989499456,0.020005029567133417,cov_diag,8
var,0.8511832084406905,0.026455911703661135,cov_diag,8
mu,0.1742629549812409,0.012974092665930467,cov,9
var,0.8350349747217808,0.020345590456597708,cov,9
