Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19872115444443333,0.009677851234406185,cov,0
var,0.8210116934525914,0.011486646278376964,cov,0
mu,0.1984330553747217,0.009627455321061937,cov_diag,0
var,0.8201649641364885,0.012809991441595642,cov_diag,0
mu,0.1864912099897618,0.009472908455594772,cov,1
var,0.8145509503607878,0.011415495896944216,cov,1
mu,0.18746033260154876,0.009624538439518016,cov_diag,1
var,0.8146088543677568,0.012793751172389081,cov_diag,1
mu,0.19126400555309167,0.0096468608547268,cov,2
var,0.7872470148409119,0.011692634405162149,cov,2
mu,0.1909870952979837,0.009807311965032204,cov_diag,2
var,0.7889355931902059,0.013183133692094345,cov_diag,2
mu,0.21271788627190522,0.009464665448538061,cov,3
var,0.793929357596369,0.011617955653428874,cov,3
mu,0.21357718586324492,0.009670697561057857,cov_diag,3
var,0.7942126438783651,0.013120147622366898,cov_diag,3
mu,0.18160218534749087,0.009583221009273191,cov,4
var,0.8097288557887234,0.011550844283878498,cov,4
mu,0.18199868402511243,0.00975577156190722,cov_diag,4
var,0.8112584744356452,0.012981207844813462,cov_diag,4
mu,0.19653172980415454,0.009510920682528793,cov,5
var,0.8023208515886535,0.011455815631676053,cov,5
mu,0.1969387191209199,0.009639572958381309,cov_diag,5
var,0.8020231697450095,0.012817958593571929,cov_diag,5
mu,0.20519014992525483,0.009681952832262825,cov,6
var,0.8176741019862126,0.011580437319817755,cov,6
mu,0.20522082088835836,0.009817207337662642,cov_diag,6
var,0.8194346907162342,0.012982758733916223,cov_diag,6
mu,0.185684431611251,0.009423640051739,cov,7
var,0.8066229603774383,0.011520637981494568,cov,7
mu,0.185848774289885,0.009572283909742466,cov_diag,7
var,0.805820821213564,0.012934778895951352,cov_diag,7
mu,0.18123142806886547,0.00965356631148075,cov,8
var,0.8355161787164835,0.01190245397145384,cov,8
mu,0.18063823740040938,0.009797741373778293,cov_diag,8
var,0.8359361172097366,0.013371092672644087,cov_diag,8
mu,0.19143493678983153,0.00958908764139817,cov,9
var,0.8116439392898225,0.011600559428598571,cov,9
mu,0.19108992729571506,0.009685061456573869,cov_diag,9
var,0.8109526657753995,0.01298747632709288,cov_diag,9
mu,0.18820162331354248,0.00966672907048935,cov,10
var,0.8044503665718603,0.011605133869507374,cov,10
mu,0.19039069709333695,0.009813506180744,cov_diag,10
var,0.8022284174060693,0.013116335002495831,cov_diag,10
mu,0.19771247917993756,0.009434319468504145,cov,11
var,0.8107205779906678,0.011428014994821753,cov,11
mu,0.20037670394882945,0.00953910262972382,cov_diag,11
var,0.8110972300773246,0.012779383835472904,cov_diag,11
mu,0.19717901510583152,0.009532677319215165,cov,12
var,0.8161176759518844,0.011580872838825454,cov,12
mu,0.19658568084862996,0.009635123361214424,cov_diag,12
var,0.818355687124326,0.01299459539363229,cov_diag,12
mu,0.190200861660335,0.009370711808551865,cov,13
var,0.803424120395518,0.011310412388699282,cov,13
mu,0.19093853878335137,0.009493606501447798,cov_diag,13
var,0.8013987609199968,0.012626409671209976,cov_diag,13
mu,0.2033871399178938,0.009791334688423975,cov,14
var,0.8189715641905386,0.011930762445550908,cov,14
mu,0.20328180607970972,0.009858550046067473,cov_diag,14
var,0.8165214187562566,0.013371344518462273,cov_diag,14
mu,0.18108600103198697,0.00931683417793575,cov,15
var,0.8188912075725044,0.011052129192985979,cov,15
