Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.1828357777883612,0.015783354626571603,cov,0
var,0.8336208646100814,0.022928923825508943,cov,0
mu,0.18542308164910062,0.027101402571246668,cov_diag,0
var,0.8312247987540122,0.02983702931007941,cov_diag,0
mu,0.1730785390466175,0.015867790729992774,cov,1
var,0.8518668320328249,0.02294195879460173,cov,1
mu,0.16031634680982965,0.0271726926804125,cov_diag,1
var,0.8386075039696492,0.030431542907561213,cov_diag,1
mu,0.20646274693846264,0.01589948697892147,cov,2
var,0.848614070472928,0.02320566291966086,cov,2
mu,0.18926468243228028,0.0271280117709919,cov_diag,2
var,0.8398268490461204,0.030266580395696546,cov_diag,2
mu,0.19118217664774378,0.015713040882011017,cov,3
var,0.8101693603665604,0.023321982469633996,cov,3
mu,0.1964175829015001,0.025751438391327028,cov_diag,3
var,0.8168206040516065,0.02937265350220999,cov_diag,3
mu,0.1738611857138012,0.015929470960077154,cov,4
var,0.8312283817230732,0.02340785847533647,cov,4
mu,0.16693658042779816,0.02722867243094898,cov_diag,4
var,0.8168065091792615,0.030920851418398725,cov_diag,4
mu,0.20302570964402772,0.015548404872334158,cov,5
var,0.8258966332717272,0.022403010057091433,cov,5
mu,0.2058412353258538,0.026192085943921764,cov_diag,5
var,0.8268710630098465,0.02871785961393227,cov_diag,5
mu,0.22333478341075436,0.015965960128589966,cov,6
var,0.8813527462381009,0.02334010218688623,cov,6
mu,0.2085898242571626,0.02706553644738381,cov_diag,6
var,0.8644024649959066,0.030300329401150294,cov_diag,6
mu,0.1985292158464472,0.01539641785959061,cov,7
var,0.8153900762011189,0.022726729983971666,cov,7
mu,0.19288911653439852,0.025376170085142463,cov_diag,7
var,0.8182630994446846,0.028719656591459957,cov_diag,7
mu,0.1954118080620043,0.015877594636082376,cov,8
var,0.8482373790230997,0.023255479867720107,cov,8
mu,0.20041476732577737,0.025677740549874338,cov_diag,8
var,0.8624361077708752,0.029480292578759913,cov_diag,8
mu,0.17364763766856645,0.01584991152159808,cov,9
var,0.8270691874184943,0.023217968649545888,cov,9
mu,0.15939468691661693,0.02690736317317364,cov_diag,9
var,0.8067941766457501,0.03042657534499275,cov_diag,9
mu,0.2076012946216265,0.015970983856951494,cov,10
var,0.8245452918639641,0.02334349543863513,cov,10
mu,0.20813136824592884,0.02659828641760867,cov_diag,10
var,0.8289205702596522,0.029704450563500392,cov_diag,10
mu,0.19440732483080356,0.015571815324486338,cov,11
var,0.8343944192359883,0.022851136109393592,cov,11
mu,0.16535054901089813,0.02690748619099961,cov_diag,11
var,0.8071401716569473,0.03018833826055143,cov_diag,11
mu,0.18050934792138834,0.015919316793577748,cov,12
var,0.847847835020055,0.022878103367068723,cov,12
mu,0.17152551540899597,0.02705696303315789,cov_diag,12
var,0.8345154019146076,0.030010977592089327,cov_diag,12
mu,0.20566446613810282,0.015482309126323661,cov,13
var,0.815956212586948,0.02305414217354856,cov,13
mu,0.19686147305680732,0.026278434971142482,cov_diag,13
var,0.7975393270238187,0.03007633188993475,cov_diag,13
mu,0.2062015197216443,0.01584697494308383,cov,14
var,0.846922559561402,0.023609427055228845,cov,14
mu,0.21306670928118962,0.026987724106324943,cov_diag,14
var,0.8461841261534223,0.030882411445035188,cov_diag,14
mu,0.17164316238844227,0.015313057358427971,cov,15
var,0.8049805290075681,0.022633727801496657,cov,15
mu,0.17491186563650304,0.02541518600946353,cov_diag,15
var,0.8108805669039976,0.028719024163258135,cov_diag,15
mu,0.19408285809354234,0.015682006316703852,cov,16
var,0.8556874811064233,0.02365654250608569,cov,16
mu,0.20222796890557235,0.026599439178423792,cov_diag,16
var,0.8540699485561806,0.031253238925960804,cov_diag,16
mu,0.20689149816647998,0.015807629701312928,cov,17
var,0.8401555790771338,0.02378232104211091,cov,17
mu,0.20395372789265775,0.026830042209949567,cov_diag,17
var,0.8328307882123585,0.030948580130347483,cov_diag,17
mu,0.2348110100106921,0.015567649186182624,cov,18
var,0.8032596959617445,0.023306989426125836,cov,18
mu,0.2367012506941946,0.025684509011483597,cov_diag,18
var,0.8078816317450715,0.02928943075479411,cov_diag,18
mu,0.17408039287577445,0.01567777724093946,cov,19
var,0.8083786746187701,0.02391684239815564,cov,19
mu,0.17631064738131588,0.026098505367575898,cov_diag,19
var,0.8052561984057662,0.030569696056035368,cov_diag,19
mu,0.1915019004166564,0.01578498565674817,cov,20
var,0.8018861932452125,0.023122420858810454,cov,20
mu,0.18529013542302414,0.02652144545699524,cov_diag,20
var,0.7919599282083382,0.02974193565688237,cov_diag,20
mu,0.19215181928731406,0.015752086767830742,cov,21
var,0.8442780497796072,0.023360649678481265,cov,21
mu,0.18125337007277578,0.026705939467527785,cov_diag,21
var,0.8367944451384616,0.03041219555381117,cov_diag,21
mu,0.20175397810047754,0.01581312078701927,cov,22
var,0.89537382173768,0.023198861937582162,cov,22
mu,0.200105664431666,0.027128496773398608,cov_diag,22
var,0.8909181665477021,0.03079695818724948,cov_diag,22
mu,0.22077108137821774,0.015516024993441952,cov,23
var,0.8550849802811868,0.022982610451031924,cov,23
mu,0.2224540062778723,0.025885630120746808,cov_diag,23
var,0.8567354144825228,0.02963977092725833,cov_diag,23
mu,0.21029876382347623,0.0154540528128206,cov,24
var,0.8109129427149944,0.02278894086822607,cov,24
mu,0.20941441003964284,0.026082364661372922,cov_diag,24
var,0.8073112572617922,0.029471297243712814,cov_diag,24
mu,0.2094621669473984,0.01578604696885851,cov,25
var,0.8236359834080806,0.023207807221140107,cov,25
mu,0.19950021524882144,0.026618917540676395,cov_diag,25
var,0.812819902775065,0.029920727649850605,cov_diag,25
mu,0.20772750848143906,0.01580886754178475,cov,26
var,0.8277021981424963,0.023530249615539556,cov,26
mu,0.20664772410248464,0.02594926823373199,cov_diag,26
var,0.8318951291551296,0.029936646738762177,cov_diag,26
