Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.1866419836647042,0.014057118456726145,cov,0
var,0.8427080997367455,0.02161365932813562,cov,0
mu,0.1925293356560963,0.02301142136487867,cov_diag,0
var,0.8487785534552283,0.02780247539692277,cov_diag,0
mu,0.17552839026529532,0.013911045637821265,cov,1
var,0.839989888913297,0.02195876097682603,cov,1
mu,0.16712066687384788,0.023274079677600385,cov_diag,1
var,0.8289275377753711,0.028454350457202453,cov_diag,1
mu,0.20232439614672776,0.014136200966873737,cov,2
var,0.8369105418698384,0.022020396112853963,cov,2
mu,0.19184041027416845,0.023462040807049882,cov_diag,2
var,0.8309386243775186,0.02846598641107778,cov_diag,2
mu,0.20145780588351678,0.013853611947981993,cov,3
var,0.7950312134696262,0.02188554467336978,cov,3
mu,0.20222739274479906,0.022369836391291194,cov_diag,3
var,0.7971421086513524,0.027735548572038932,cov_diag,3
mu,0.18315569815689797,0.014060758001448955,cov,4
var,0.8293551150902008,0.021875036206934182,cov,4
mu,0.17417292130487394,0.02365701598495937,cov_diag,4
var,0.821829341282497,0.02850409167179096,cov_diag,4
mu,0.20317857566454345,0.013846073314905944,cov,5
var,0.83118757944963,0.021367647175110728,cov,5
mu,0.20047895263425378,0.0231123933329462,cov_diag,5
var,0.8234813302543991,0.02755824345032101,cov_diag,5
mu,0.2142217722676649,0.014141946600032887,cov,6
var,0.8659221452074789,0.022364225843210052,cov,6
mu,0.21246028593763785,0.02321514746974051,cov_diag,6
var,0.864330799662502,0.0285971371185118,cov_diag,6
mu,0.19345800399857085,0.013725464530638996,cov,7
var,0.8321657087584583,0.021647386120601377,cov,7
mu,0.19050008500750884,0.02225319967961873,cov_diag,7
var,0.8300573947005382,0.027771848179778045,cov_diag,7
mu,0.20162762404032092,0.013993392190704949,cov,8
var,0.8490446658919086,0.022134734640925708,cov,8
mu,0.20588803702120737,0.02287042553884191,cov_diag,8
var,0.854437960141187,0.028057326830151032,cov_diag,8
mu,0.1798012591242674,0.0139243985132739,cov,9
var,0.842932231638871,0.021881724206389622,cov,9
