Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19343462848877724,0.011510674501768467,cov,0
var,0.8327061611914884,0.016932717985309154,cov,0
mu,0.19465812630716234,0.0158027599797521,cov_diag,0
var,0.8444133588068594,0.022370604627421978,cov_diag,0
mu,0.17984054205719405,0.011332718734913746,cov,1
var,0.8219739648051914,0.016965240346859672,cov,1
mu,0.1774719821062539,0.015740662640246657,cov_diag,1
var,0.8150655539179399,0.022763585187918503,cov_diag,1
mu,0.19339858650577985,0.011480861903242618,cov,2
var,0.801051845998049,0.01681666227890211,cov,2
mu,0.1935607940844442,0.015926957668319707,cov_diag,2
var,0.8073228604311367,0.022496580891197892,cov_diag,2
mu,0.20627944854351876,0.011294274578166645,cov,3
var,0.7827269974621276,0.01670048716391283,cov,3
mu,0.20631345446048652,0.015547386378231378,cov_diag,3
var,0.7780371462138712,0.02231429223528044,cov_diag,3
mu,0.17492129753790114,0.011457269035482566,cov,4
var,0.8154391252912377,0.01690033106227444,cov,4
mu,0.1756673961063769,0.01582830531228572,cov_diag,4
var,0.8175852422619689,0.02252889464630345,cov_diag,4
mu,0.19806671080381147,0.011277086778747438,cov,5
var,0.8003704010416143,0.016552123097547337,cov,5
mu,0.197224301904117,0.015583856397596444,cov_diag,5
var,0.8035841049590607,0.022156714320538177,cov_diag,5
mu,0.20528609550694188,0.011541614064005511,cov,6
var,0.8379739949443654,0.017569334248704778,cov,6
mu,0.2053902004254328,0.016019523253278715,cov_diag,6
var,0.8324849419355673,0.023697984591149843,cov_diag,6
mu,0.1864173414979069,0.011202921832375713,cov,7
var,0.8017390480965354,0.01652223069048811,cov,7
mu,0.18697139010697195,0.015419730414050226,cov_diag,7
var,0.8007656545203014,0.02214249939049581,cov_diag,7
mu,0.1973672637940115,0.011514713707621372,cov,8
var,0.8366818292210709,0.017145169263620454,cov,8
mu,0.19603960136131482,0.015941773084038012,cov_diag,8
var,0.8393558221262587,0.02284646005309368,cov_diag,8
mu,0.18506282169404786,0.011346803166385318,cov,9
var,0.8154254282473491,0.016758351898245077,cov,9
mu,0.18439810493182668,0.015642634504384103,cov_diag,9
var,0.8114295510157852,0.022505423351244076,cov_diag,9
mu,0.20181848415285672,0.011480962498239445,cov,10
var,0.8020700252358476,0.01691026329209488,cov,10
mu,0.20395614436414816,0.015921467496974522,cov_diag,10
var,0.8063851369657528,0.022778963425699586,cov_diag,10
mu,0.20624493596586393,0.011103012696207103,cov,11
var,0.8175470217791748,0.01654131280837034,cov,11
mu,0.20380507892329594,0.015724230934072974,cov_diag,11
var,0.8110443106603484,0.022063316534353568,cov_diag,11
mu,0.19328626847665506,0.01142433682197902,cov,12
var,0.830022751957908,0.017219213736690858,cov,12
mu,0.19429720591736843,0.015788097711898732,cov_diag,12
var,0.8314954676888928,0.023201825390426985,cov_diag,12
mu,0.19772536424925014,0.011172126751559574,cov,13
var,0.8151083601175708,0.01648034079120006,cov,13
mu,0.197760385182593,0.01533895552417798,cov_diag,13
var,0.8172836456003297,0.02209801375260622,cov_diag,13
mu,0.20794895395595842,0.011429939089899619,cov,14
var,0.8210857452467661,0.01711042911981773,cov,14
mu,0.21258326348212325,0.015972589681951952,cov_diag,14
var,0.8274447382502952,0.023161487541427224,cov_diag,14
mu,0.1770828692825382,0.011099694741358178,cov,15
var,0.7989080477268018,0.01634332497476233,cov,15
mu,0.1798700457560942,0.015284277395583721,cov_diag,15
var,0.8077791562545352,0.0220336603969356,cov_diag,15
mu,0.19913083047209262,0.011236918509794028,cov,16
var,0.8143381865478466,0.016686915841261103,cov,16
mu,0.20142443801391133,0.015556909931084065,cov_diag,16
var,0.8149296189984028,0.022687975469353514,cov_diag,16
mu,0.21060250873454478,0.011353013778298041,cov,17
var,0.8096213276799286,0.016976219078337244,cov,17
mu,0.21142875807750203,0.015869275483481292,cov_diag,17
var,0.8124602180012968,0.02281815948312807,cov_diag,17
mu,0.22589534089808744,0.011141466988985571,cov,18
var,0.7976213963713857,0.01644657076505438,cov,18
mu,0.22566974206401844,0.015520453653994206,cov_diag,18
var,0.8029458885809697,0.02207376898385219,cov_diag,18
mu,0.1888674942045653,0.011272898005156106,cov,19
var,0.7901728244313617,0.016856355001192088,cov,19
mu,0.19203321405414112,0.01555007466510763,cov_diag,19
var,0.7914709317881722,0.02284633956323682,cov_diag,19
mu,0.19489413739799114,0.011316723887659324,cov,20
var,0.802150681774402,0.016605467814112627,cov,20
mu,0.19342881281058447,0.01570268240552817,cov_diag,20
var,0.798905282245642,0.02225308113291967,cov_diag,20
mu,0.1960699270097456,0.011352919875173435,cov,21
var,0.8159480448859676,0.016769540428282655,cov,21
mu,0.1958803281011106,0.015702868025365652,cov_diag,21
var,0.8165764671993839,0.02274232885097865,cov_diag,21
mu,0.20457928456952706,0.011288952019611841,cov,22
var,0.8382398081714063,0.017127711448293906,cov,22
mu,0.20357738682367998,0.01593014336674336,cov_diag,22
var,0.8350343803996713,0.023344778370559316,cov_diag,22
mu,0.21186610680281195,0.011100012853812001,cov,23
var,0.8233153275929084,0.016746738809025188,cov,23
mu,0.2114520602552863,0.015582545892560766,cov_diag,23
var,0.8221182352548776,0.022226007231161322,cov_diag,23
mu,0.20802441470227617,0.011120331699989099,cov,24
var,0.7958926504449351,0.016492417033448697,cov,24
mu,0.2141296477810736,0.015278062008000068,cov_diag,24
var,0.8021972580680415,0.021860176859995833,cov_diag,24
mu,0.21492677617927744,0.011295236178221995,cov,25
var,0.7897112150884098,0.01669386420226108,cov,25
mu,0.21359820773658408,0.015582642055141179,cov_diag,25
var,0.791260956171381,0.0222641095942689,cov_diag,25
mu,0.21636916263859207,0.011356240361941113,cov,26
var,0.8058402332897763,0.016880533820715526,cov,26
mu,0.21563339564993042,0.015726546890248088,cov_diag,26
var,0.8059993945942968,0.0226188379017391,cov_diag,26
mu,0.22031621342724925,0.011110628165836205,cov,27
var,0.7885976470475435,0.01647927413861665,cov,27
mu,0.22029257720849038,0.015367673068745534,cov_diag,27
var,0.786573016559082,0.021897641129840564,cov_diag,27
mu,0.19426745859495073,0.011279272138636715,cov,28
var,0.8051787670757,0.016563312106576397,cov,28
mu,0.19288460900068663,0.015672646505403003,cov_diag,28
var,0.802298128674317,0.02198452751583045,cov_diag,28
mu,0.21085599461420115,0.011117381344294386,cov,29
var,0.7956642722528461,0.016163908140909743,cov,29
mu,0.2101560374004565,0.015552782651014422,cov_diag,29
var,0.7970593537946997,0.02118999756815398,cov_diag,29
mu,0.2020144450376265,0.011263747843645774,cov,30
var,0.8215585506827843,0.01693022742313126,cov,30
mu,0.20031827560982662,0.015696456511075454,cov_diag,30
var,0.8181498188686634,0.02301568189481874,cov_diag,30
mu,0.1896127367492724,0.011365437517795993,cov,31
var,0.8239789845184027,0.016927082627698514,cov,31
mu,0.19022106445240486,0.01583654409576398,cov_diag,31
var,0.8270069604517328,0.022741541982366956,cov_diag,31
mu,0.2032177212514798,0.011186215643712919,cov,32
var,0.8183227573609423,0.016654572333552848,cov,32
mu,0.20327332384094735,0.015695553941733078,cov_diag,32
var,0.8113426710239268,0.02235804861479522,cov_diag,32
mu,0.213984193615367,0.011012262551217877,cov,33
var,0.8178122444812738,0.016658025805396527,cov,33
mu,0.21119847879912723,0.01557430044740476,cov_diag,33
var,0.8101359399302098,0.02229870589954361,cov_diag,33
mu,0.1937269628129508,0.01144753954532715,cov,34
var,0.8283270753388925,0.017168512535742718,cov,34
mu,0.1927683845311974,0.0158822157274285,cov_diag,34
var,0.8278709624678818,0.023053621785532323,cov_diag,34
mu,0.18651940376337695,0.011419178566189184,cov,35
var,0.7925629626096005,0.01684201443183352,cov,35
mu,0.18660380866117893,0.015722849672386296,cov_diag,35
var,0.7924115471443874,0.022594930184085288,cov_diag,35
mu,0.1956286695195603,0.011293419485622713,cov,36
var,0.8178188376986905,0.016624412534874317,cov,36
mu,0.19625006299419426,0.01564646616061179,cov_diag,36
var,0.8179009178361588,0.022425101199103525,cov_diag,36
mu,0.20164936921123505,0.011204834295929101,cov,37
var,0.8221606316857757,0.01670090256197418,cov,37
mu,0.20291827363329887,0.01537486970293337,cov_diag,37
var,0.8305987311418758,0.02258852850293991,cov_diag,37
mu,0.2062093980380161,0.011287816441104718,cov,38
var,0.8077122225296558,0.016675462591720983,cov,38
mu,0.20575195713724975,0.015583173055679732,cov_diag,38
var,0.8052051395804175,0.022183583362579022,cov_diag,38
mu,0.21521610892078474,0.011561599990429442,cov,39
var,0.8219812645509377,0.01716687467860631,cov,39
mu,0.21830346443233314,0.015866518657993905,cov_diag,39
var,0.8285489187592279,0.02269405811003907,cov_diag,39
mu,0.21010016276020854,0.011329494505064368,cov,40
var,0.8040687004257229,0.016846891503943993,cov,40
mu,0.21340746264532465,0.01563916232446576,cov_diag,40
var,0.8068236270573113,0.022594074149478203,cov_diag,40
mu,0.20345398390382746,0.011314259700310109,cov,41
var,0.8349592344506955,0.017034334766899088,cov,41
mu,0.206868271552067,0.015692307922206036,cov_diag,41
var,0.8424526171912711,0.023044427208411607,cov_diag,41
mu,0.1982979825045574,0.011379075064415033,cov,42
var,0.8137216492534198,0.01672943324639433,cov,42
mu,0.19715835335908022,0.015741278655887318,cov_diag,42
var,0.8105294230162573,0.022470952712452006,cov_diag,42
mu,0.20067409017810067,0.011442791091413865,cov,43
var,0.8136013398821839,0.016919963597114777,cov,43
mu,0.2013954586249938,0.015688743931217906,cov_diag,43
var,0.8188524620072269,0.022831564510085414,cov_diag,43
mu,0.2117833399076596,0.011405922398481639,cov,44
var,0.8019737028581172,0.01683942161673094,cov,44
mu,0.21529845460300892,0.01564857902153096,cov_diag,44
var,0.8106016101731806,0.02228577047863901,cov_diag,44
mu,0.21561269136921898,0.011219538826640778,cov,45
var,0.8146984889259239,0.016857257497002013,cov,45
mu,0.21191451124278077,0.01578863753608075,cov_diag,45
var,0.8066038793208267,0.022568671325033034,cov_diag,45
mu,0.19083607920335005,0.01148975596688644,cov,46
var,0.8161045037138551,0.017078143600712876,cov,46
mu,0.19561981281256355,0.015930870038274918,cov_diag,46
var,0.8228044350639155,0.02340148285462139,cov_diag,46
mu,0.2162043204035178,0.011291520705049473,cov,47
var,0.789326249758123,0.016820979651463244,cov,47
mu,0.21578562581885538,0.015474033484217348,cov_diag,47
var,0.7890385331251113,0.02254577405196747,cov_diag,47
mu,0.2339707702311643,0.01108725758571759,cov,48
var,0.7867938780587334,0.016374625389025677,cov,48
mu,0.2333938601098559,0.015310370718718195,cov_diag,48
var,0.7827193442657461,0.021743158244123366,cov_diag,48
mu,0.20872887055711487,0.01123765710826687,cov,49
var,0.7967920107640699,0.016461663434462485,cov,49
mu,0.2079664178313145,0.015666711943224422,cov_diag,49
var,0.8001870600208718,0.021976880673636266,cov_diag,49
mu,0.2039308401079591,0.011378010670528162,cov,50
var,0.8071508200854111,0.016842995209789425,cov,50
mu,0.20524829963793417,0.01595878868025468,cov_diag,50
var,0.8066275411260435,0.02279978260171771,cov_diag,50
mu,0.19632004918087612,0.011314885136564614,cov,51
var,0.8040499516229316,0.016578600829883466,cov,51
mu,0.19606628814685184,0.015764503771191634,cov_diag,51
var,0.8068067317890564,0.022295761465066538,cov_diag,51
mu,0.19714360376904025,0.011126924269476979,cov,52
var,0.8019237920611417,0.016276828399662137,cov,52
mu,0.19746982134038848,0.01540579101110798,cov_diag,52
var,0.8038135615125594,0.021757021330960406,cov_diag,52
mu,0.19014734666297445,0.011349150201595302,cov,53
var,0.8010781246153187,0.016829986999623518,cov,53
mu,0.1873510955996589,0.015814979366750376,cov_diag,53
var,0.7906681402235644,0.02267367030198972,cov_diag,53
mu,0.20900560086287037,0.011222838457879457,cov,54
var,0.7975254530888967,0.01649283849169904,cov,54
mu,0.20870742045209265,0.015628168895848678,cov_diag,54
var,0.8000122095861967,0.022113495713713186,cov_diag,54
mu,0.20839481207951147,0.01122793462735407,cov,55
var,0.7954230241129155,0.0167143909889265,cov,55
mu,0.21158804307219906,0.015456959961567374,cov_diag,55
var,0.8039205111418595,0.022578284422704733,cov_diag,55
mu,0.1990883380055535,0.011333847458137154,cov,56
var,0.8082597119647617,0.016413211017370716,cov,56
mu,0.20003190564135423,0.015638664579237162,cov_diag,56
var,0.8148881637579689,0.021835806911766703,cov_diag,56
mu,0.20461897827745515,0.011163847432963217,cov,57
var,0.7956347992521516,0.016312749700672403,cov,57
mu,0.2065678510380222,0.015400517832095435,cov_diag,57
var,0.8010160312728445,0.02169112400601632,cov_diag,57
mu,0.2151421086024281,0.011106653821912912,cov,58
var,0.8110446956680614,0.016344701989749598,cov,58
mu,0.21670081646969697,0.015409011770505973,cov_diag,58
var,0.8115479259360833,0.021868277032022,cov_diag,58
mu,0.18050456996702763,0.011370250589435985,cov,59
var,0.8166047093636098,0.016726820016152066,cov,59
mu,0.17983736300448272,0.015742809543544196,cov_diag,59
var,0.8156563020792754,0.02261664674499715,cov_diag,59
mu,0.2148824875134746,0.011430062301535374,cov,60
var,0.8681762775128585,0.01741079584116762,cov,60
mu,0.21202890991220283,0.01599725407973468,cov_diag,60
var,0.8670591459698597,0.023482380407630087,cov_diag,60
mu,0.22139325860458164,0.011130229594788304,cov,61
var,0.835667210275866,0.01652947911203081,cov,61
mu,0.21933542353983596,0.015556770819188194,cov_diag,61
var,0.83683776713046,0.02198310789983917,cov_diag,61
mu,0.20354501607323516,0.011218510221070394,cov,62
var,0.7970097305984989,0.016560526245940684,cov,62
mu,0.20201171740155477,0.015513649298677875,cov_diag,62
var,0.7919064232955384,0.022147670108537798,cov_diag,62
mu,0.21702216533413768,0.011114940164523527,cov,63
var,0.8151123610696196,0.01669637941288934,cov,63
mu,0.21284372161797613,0.015696283535576793,cov_diag,63
var,0.8078704240918486,0.02230655219463199,cov_diag,63
mu,0.20652816083156553,0.01149611582011198,cov,64
var,0.8175880896879335,0.017102388473972274,cov,64
mu,0.2090642223170802,0.016043714007750662,cov_diag,64
var,0.8240942579429071,0.023031699018778537,cov_diag,64
