Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.18265137900506676,0.013566490867111092,cov,0
var,0.8414202212895565,0.021382274527041036,cov,0
mu,0.18966079372377975,0.021353885570737585,cov_diag,0
var,0.8553277691685455,0.026931350765007703,cov_diag,0
mu,0.17634450655926945,0.013560606752238177,cov,1
var,0.8457718035000521,0.021687519592476733,cov,1
mu,0.16972467254686355,0.02177302041803573,cov_diag,1
var,0.8355771234005451,0.02770552915712116,cov_diag,1
mu,0.2008229453718652,0.013761352700302317,cov,2
var,0.8330383089263312,0.021458211027835922,cov,2
mu,0.1969982183875546,0.021837226722972832,cov_diag,2
var,0.8332262226768673,0.02753180776224666,cov_diag,2
mu,0.20140219389626854,0.013488710803284154,cov,3
var,0.7904751864282726,0.02146070495608868,cov,3
mu,0.19800799888826037,0.021257122974841954,cov_diag,3
var,0.7862983801817321,0.027081334179676262,cov_diag,3
mu,0.17664307627889403,0.013656552157461765,cov,4
var,0.8332220311271292,0.02150749016273166,cov,4
mu,0.17162408252383207,0.022008000524682436,cov_diag,4
var,0.8311020156755848,0.02750035392005337,cov_diag,4
mu,0.20260828330057676,0.013423191583874335,cov,5
var,0.8211400730318514,0.020799982778917984,cov,5
mu,0.2016379768460349,0.021531772971214558,cov_diag,5
var,0.8163378926027743,0.026697309569071143,cov_diag,5
mu,0.2125864784783143,0.013783829592072305,cov,6
var,0.8615467085642534,0.022041260139904113,cov,6
mu,0.21024609876423994,0.021793972204562,cov_diag,6
var,0.8598141246635024,0.02762179920773572,cov_diag,6
mu,0.18994147352881158,0.013297757341016738,cov,7
var,0.8232858246138817,0.02120074121532487,cov,7
mu,0.1883449513388547,0.020780245985058853,cov_diag,7
var,0.8243845385117896,0.02672959371789301,cov_diag,7
mu,0.198518727868626,0.013672541646361728,cov,8
var,0.8517507396136343,0.021911833953720032,cov,8
mu,0.19859450548996105,0.02144851259708589,cov_diag,8
var,0.8586237834853181,0.027388477527091726,cov_diag,8
mu,0.1743487480111031,0.013484404188806936,cov,9
var,0.8346994537598357,0.021789549933241645,cov,9
mu,0.16905407811918083,0.021527767209092327,cov_diag,9
var,0.8263736064319271,0.027685046909280444,cov_diag,9
mu,0.20613644822486077,0.013729564775653987,cov,10
