Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19710160287761183,0.009990875572159285,cov,0
var,0.8146378063731295,0.012470111322747005,cov,0
mu,0.1964205480789055,0.012266158277650716,cov_diag,0
var,0.8158540706539315,0.01607045391649552,cov_diag,0
mu,0.18640916858046788,0.009806937365511522,cov,1
var,0.8032333394497503,0.012307207742614894,cov,1
mu,0.18761524356597145,0.012200925055373,cov_diag,1
var,0.8026442152063201,0.016062515267446807,cov_diag,1
mu,0.1925849666340401,0.010049564896170472,cov,2
var,0.7826547005516331,0.012807860490433825,cov,2
mu,0.19247966156628984,0.01237207947744463,cov_diag,2
var,0.7838263251631491,0.01669879691639958,cov_diag,2
mu,0.21670829577542955,0.009868088421330674,cov,3
var,0.7881330898027769,0.012484290035247092,cov,3
mu,0.21669622884873768,0.0122433540140385,cov_diag,3
var,0.7877168672986936,0.016343192117006605,cov_diag,3
mu,0.1863094475446213,0.009939111215954907,cov,4
var,0.8063073342022924,0.012442679971163882,cov,4
mu,0.18621735501012113,0.012370394048888594,cov_diag,4
var,0.8079620540546613,0.01626483909144274,cov_diag,4
mu,0.19782999216356792,0.00984863538774249,cov,5
var,0.794453838320801,0.012374019121215152,cov,5
mu,0.1982004455934949,0.012189914941240882,cov_diag,5
var,0.7950350798536784,0.016079519757205205,cov_diag,5
mu,0.2095605647475377,0.010063723744340707,cov,6
var,0.8145992143160846,0.012724406976503792,cov,6
mu,0.20941768274095388,0.012425187368913992,cov_diag,6
var,0.8146749583579358,0.016531666933345044,cov_diag,6
mu,0.19196482864020634,0.009814568767492303,cov,7
var,0.8059629257823827,0.01248996337775184,cov,7
mu,0.19117284332144874,0.012093589795125825,cov_diag,7
var,0.804013275699399,0.01637229243861717,cov_diag,7
mu,0.1857587975926321,0.01000019742498436,cov,8
var,0.8304506435466009,0.012776953773823763,cov,8
mu,0.1870160793785302,0.012490032086784739,cov_diag,8
var,0.8303328240625679,0.016717295074816774,cov_diag,8
mu,0.19466816634517417,0.00985881500010672,cov,9
var,0.8021483917473267,0.012484344295766612,cov,9
mu,0.19537234392600605,0.012212696920749949,cov_diag,9
var,0.8016033687908775,0.016248586068324727,cov_diag,9
mu,0.19466056394212322,0.010020346070441496,cov,10
var,0.8004040945600949,0.012557467179157823,cov,10
mu,0.19595637804747235,0.012426379453048851,cov_diag,10
var,0.7975257313384079,0.01634041793458603,cov_diag,10
mu,0.2041075476460583,0.00976049064016029,cov,11
var,0.7998061748295068,0.012278499598685322,cov,11
mu,0.20630767526806576,0.012120015817144697,cov_diag,11
var,0.7990840621407976,0.016056067264755818,cov_diag,11
mu,0.19600994350037154,0.009919459138379737,cov,12
var,0.8118397521782688,0.012559242735818398,cov,12
mu,0.19547963469357743,0.012243772568169645,cov_diag,12
var,0.8108720162852006,0.01632466002711397,cov_diag,12
mu,0.19548524880435514,0.00972156981660658,cov,13
var,0.7975960883328531,0.012267524030681197,cov,13
mu,0.19539069428302,0.011990408559035392,cov_diag,13
var,0.7978562218766778,0.01586204788905662,cov_diag,13
mu,0.20868769746570384,0.010107142130060153,cov,14
