Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19210146963317243,0.011270261474812464,cov,0
var,0.831492321543246,0.016027628093687758,cov,0
mu,0.19203788032452573,0.015129630653531253,cov_diag,0
var,0.836988382731677,0.021296383069113977,cov_diag,0
mu,0.17921889716310213,0.011033102684706924,cov,1
var,0.8236192804563941,0.015994122763692126,cov,1
mu,0.17809356533063295,0.01507886370550308,cov_diag,1
var,0.8201417334646569,0.02178165252959849,cov_diag,1
mu,0.19605383805999055,0.011287141033932383,cov,2
var,0.7965432210152326,0.01595971271773486,cov,2
mu,0.19748061691618685,0.01516190150351568,cov_diag,2
var,0.802572357344879,0.021488127139546963,cov_diag,2
mu,0.20878855804435892,0.011027442974762,cov,3
var,0.7846305387256304,0.015882147591589756,cov,3
mu,0.20971748022263648,0.014906700017961532,cov_diag,3
var,0.779667354496805,0.021477614207483234,cov_diag,3
mu,0.17843884604186366,0.011244877906308973,cov,4
var,0.8136754717297746,0.015868777024862248,cov,4
mu,0.17925891287105694,0.015160701270218076,cov_diag,4
var,0.8121468791624172,0.021482645576176556,cov_diag,4
mu,0.19697467246836528,0.011037519975569631,cov,5
var,0.8012812362631008,0.01561187241117699,cov,5
mu,0.1961359084211061,0.014985712803947334,cov_diag,5
var,0.8035111666333992,0.021109260749727743,cov_diag,5
mu,0.20993250555689147,0.011291995558077023,cov,6
var,0.8329123910698945,0.016631781850548817,cov,6
mu,0.21065877434902525,0.01528877830200858,cov_diag,6
var,0.82812054253626,0.02255624171910236,cov_diag,6
mu,0.18761614521854036,0.010984296229176724,cov,7
var,0.8086798329547733,0.015972218015604594,cov,7
mu,0.1884498745841403,0.01491923511184137,cov_diag,7
var,0.8050371549128835,0.021634630767057395,cov_diag,7
mu,0.19526857933353295,0.01132711455508493,cov,8
var,0.8397016263306996,0.016462384956659054,cov,8
mu,0.19457893928555908,0.015364441401914966,cov_diag,8
var,0.8420364162289772,0.022151677996568458,cov_diag,8
mu,0.18754075780354035,0.011117464181431778,cov,9
var,0.8143965970897484,0.015956106777482115,cov,9
mu,0.1871716209740923,0.015087285275766475,cov_diag,9
var,0.81222160917335,0.021661448789255456,cov_diag,9
mu,0.200483246450307,0.011153805685412238,cov,10
var,0.8034928235734424,0.016143668709686684,cov,10
mu,0.20150856341803539,0.015280490839378854,cov_diag,10
var,0.8043391303072331,0.021923163946260996,cov_diag,10
mu,0.20610539972575265,0.010955706659445475,cov,11
var,0.811521198841405,0.015685636111197988,cov,11
mu,0.20396900201469256,0.014963263152757414,cov_diag,11
var,0.807112075382971,0.021345082510753708,cov_diag,11
mu,0.1930364267189602,0.011188284448893632,cov,12
var,0.8275528818584715,0.01626074154439099,cov,12
mu,0.19438572918923216,0.015213151380204732,cov_diag,12
var,0.8285862333594002,0.02205374417860918,cov_diag,12
mu,0.19881909730107908,0.010944802976081107,cov,13
var,0.8065041315111319,0.01567382340075339,cov,13
mu,0.20207452261342668,0.014634517485288217,cov_diag,13
var,0.8108742708652635,0.021022810353056465,cov_diag,13
mu,0.20884770904212455,0.011292343823743424,cov,14
var,0.8207129470827734,0.016393976439477417,cov,14
