Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19815679049377424,0.009859480364540183,cov,0
var,0.8151957910336383,0.012062936331556279,cov,0
mu,0.19719984123327805,0.011600254430274758,cov_diag,0
var,0.8157398066837824,0.015219598412733055,cov_diag,0
mu,0.1885500563687786,0.009731095701514833,cov,1
var,0.8080709645365907,0.011956349073139527,cov,1
mu,0.1892773307355293,0.011507669754692947,cov_diag,1
var,0.8071451599976356,0.015149366349603066,cov_diag,1
mu,0.19117660836379868,0.009879249100356513,cov,2
var,0.7802707584636946,0.012319909967703513,cov,2
mu,0.19026922098760163,0.01167748658390762,cov_diag,2
var,0.7816011951055438,0.015734294286225185,cov_diag,2
mu,0.2168039771314572,0.009768589528783268,cov,3
var,0.7867337947148654,0.01221566265191924,cov,3
mu,0.2167141064597003,0.011547233403350047,cov_diag,3
var,0.7872436562116288,0.015543593800389138,cov_diag,3
mu,0.18379762419672416,0.00984959440382481,cov,4
var,0.8060708512522768,0.012081051872488363,cov,4
mu,0.18420497903760824,0.011661629964702215,cov_diag,4
var,0.807222960669977,0.015415083219641034,cov_diag,4
mu,0.19669413336182814,0.009772077711401433,cov,5
var,0.7972947583669211,0.012018536772748844,cov,5
mu,0.19638679780883833,0.011503480810116972,cov_diag,5
var,0.7967306231797452,0.015203821253109914,cov_diag,5
mu,0.20891909855515292,0.009943876216770542,cov,6
var,0.8106662295504841,0.01224214352150855,cov,6
mu,0.20924795108011893,0.011757870033706224,cov_diag,6
var,0.8122058764525834,0.01554121588824952,cov_diag,6
mu,0.19069354536287672,0.009643412585401563,cov,7
var,0.8054148690776901,0.01209750770121722,cov,7
mu,0.19024878291719918,0.011456960963877438,cov_diag,7
var,0.8054328805840099,0.015350301057153997,cov_diag,7
mu,0.18408900782415155,0.009917912618272646,cov,8
var,0.8343289631031015,0.012495296679584515,cov,8
mu,0.18544227480815711,0.011711181955188343,cov_diag,8
var,0.8347508417100196,0.01588358569626458,cov_diag,8
mu,0.19273717647786273,0.00970767244781234,cov,9
var,0.8043004698220032,0.01210997188487403,cov,9
mu,0.19254215813423023,0.01152740178651413,cov_diag,9
var,0.8039011468779378,0.015397855336320333,cov_diag,9
mu,0.19283653692920835,0.00990877090494554,cov,10
var,0.8031647499383813,0.012180361692139062,cov,10
mu,0.19463166174546453,0.01171892571786238,cov_diag,10
var,0.8014100137711763,0.015549454550424278,cov_diag,10
mu,0.2033041984743526,0.009665213722635312,cov,11
var,0.8026415559561974,0.011952235435725475,cov,11
mu,0.2074925624126002,0.01138159044471163,cov_diag,11
var,0.8026705345496149,0.015239553885068858,cov_diag,11
mu,0.19722518035854641,0.009785110033193245,cov,12
var,0.8099610665584082,0.012220473559724852,cov,12
mu,0.19684657301304956,0.011572479673880972,cov_diag,12
var,0.811246695682653,0.015572933330519411,cov_diag,12
mu,0.19605072960879003,0.009678819529815235,cov,13
var,0.8012501004719058,0.011900951805629497,cov,13
mu,0.19542174778304086,0.011323499418118848,cov_diag,13
var,0.7998282003339354,0.015013503153533664,cov_diag,13
mu,0.20797174465058546,0.010015774959317367,cov,14
var,0.8181124918566132,0.01250398061171466,cov,14
mu,0.2055960548724504,0.011704659747069674,cov_diag,14
var,0.8169096018636537,0.01592504352445655,cov_diag,14
mu,0.18375663192507602,0.00956455807148086,cov,15
var,0.8060119953646026,0.011637969241000762,cov,15
mu,0.1848022226072094,0.011279455472871595,cov_diag,15
var,0.8049385738355899,0.014710037485582483,cov_diag,15
mu,0.2167825382344312,0.009701838177007411,cov,16
var,0.8078355093349997,0.012170466435571526,cov,16
mu,0.2153019383995259,0.011348052254969722,cov_diag,16
var,0.8078933456860494,0.015472442119466101,cov_diag,16
mu,0.21943313692446795,0.009777141471777703,cov,17
var,0.8067819762042503,0.012071110423248342,cov,17
mu,0.21903438036844405,0.01156414618831704,cov_diag,17
var,0.804454778003559,0.015214931176245837,cov_diag,17
mu,0.2186755622854982,0.009742745872697817,cov,18
var,0.8089195108745076,0.012093208632644391,cov,18
mu,0.22022460943305708,0.011520229238287768,cov_diag,18
var,0.8084054976795286,0.015260354676768749,cov_diag,18
mu,0.20203901295224536,0.009815079075548126,cov,19
var,0.8009438943722595,0.011940699605246744,cov,19
mu,0.20225100108907268,0.01147958754432485,cov_diag,19
var,0.8006323534463651,0.015186373428413676,cov_diag,19
mu,0.19937339166754697,0.009784237211296648,cov,20
var,0.7875771589042888,0.01199063921220155,cov,20
mu,0.2002001160403188,0.011530786514454952,cov_diag,20
var,0.7869181528532941,0.015181808084564036,cov_diag,20
mu,0.19743827499462838,0.009800731811164561,cov,21
var,0.806451892853503,0.012334882696542905,cov,21
mu,0.19701269304926228,0.011549223205554258,cov_diag,21
var,0.8063858682800048,0.015712265661892533,cov_diag,21
mu,0.2069447585073871,0.009827820514631321,cov,22
var,0.8166079198280269,0.012061793503996231,cov,22
mu,0.2089202754245667,0.011635676306289795,cov_diag,22
var,0.815835367137241,0.015267789216543913,cov_diag,22
mu,0.21101873473862742,0.00965031086662395,cov,23
var,0.8020536313176436,0.012105829779500817,cov,23
mu,0.21072312791060174,0.011396218909897258,cov_diag,23
var,0.8008180438823524,0.015410242142870236,cov_diag,23
mu,0.20890671713978598,0.009636504607218535,cov,24
var,0.775213472422101,0.011587530888356089,cov,24
mu,0.20736363062394073,0.011353449888963172,cov_diag,24
var,0.7746456204672671,0.014811379469642002,cov_diag,24
mu,0.2084556140402603,0.009802099188721823,cov,25
var,0.797449410996231,0.012240918428171065,cov,25
mu,0.2091433363308321,0.011460324684511209,cov_diag,25
var,0.7959210297248341,0.015607896011780956,cov_diag,25
mu,0.20830578917136205,0.009846045321022824,cov,26
var,0.8017309714423675,0.012305153514494115,cov,26
mu,0.20781456499462297,0.011541479313201097,cov_diag,26
var,0.8014786277480791,0.01567802604899694,cov_diag,26
mu,0.22303305224040718,0.009586488226825,cov,27
var,0.7817780858331654,0.011976587478747995,cov,27
mu,0.22280653174575704,0.01136982286398105,cov_diag,27
var,0.7832413506148345,0.015262640544183479,cov_diag,27
mu,0.1974538796929578,0.009751538277942074,cov,28
var,0.8117604233021879,0.01212702406414095,cov,28
mu,0.195230764803881,0.011524218717350215,cov_diag,28
var,0.80826893695613,0.015333199771412865,cov_diag,28
mu,0.2123066336087062,0.009655441017132192,cov,29
var,0.8064669425532417,0.011870360948155053,cov,29
mu,0.2134386196460981,0.011338655136480502,cov_diag,29
var,0.8075845738323152,0.015048694162685328,cov_diag,29
mu,0.20388227197470266,0.009843525281422568,cov,30
var,0.8015373668121433,0.012193343428567949,cov,30
mu,0.2018111691091544,0.01150401352685533,cov_diag,30
var,0.7999981513520262,0.015419917713780968,cov_diag,30
mu,0.19098124292504762,0.009832062278655244,cov,31
var,0.8166114459402599,0.012068682644195652,cov,31
mu,0.18989686747963294,0.011641783156063904,cov_diag,31
var,0.8162955096318268,0.015239625922224935,cov_diag,31
mu,0.20580448483137118,0.009595804434645552,cov,32
var,0.7898834697515356,0.011852345589419602,cov,32
mu,0.20761271487548597,0.011283879903667105,cov_diag,32
var,0.7912020392027526,0.015184726985820872,cov_diag,32
mu,0.21766399743833395,0.00958346012666275,cov,33
var,0.8071261958107991,0.011972044174026317,cov,33
mu,0.21648705296670706,0.011359525965841171,cov_diag,33
var,0.8076935892825995,0.01525655534205238,cov_diag,33
mu,0.20228399197980096,0.009873585176770165,cov,34
var,0.8162544721537449,0.01236416142662593,cov,34
mu,0.2017930193673912,0.01163517979498951,cov_diag,34
var,0.8178413400975502,0.015676553844878816,cov_diag,34
mu,0.19371521118759846,0.009816678502574498,cov,35
var,0.7840820014701118,0.012174360790594425,cov,35
mu,0.19232920535689102,0.011635201452267312,cov_diag,35
var,0.7860398802796589,0.015594294262690028,cov_diag,35
mu,0.19741940014194498,0.009812084651312275,cov,36
var,0.8033804214351498,0.012184520281339222,cov,36
mu,0.19954885639942388,0.011488157595346491,cov_diag,36
var,0.8031495468517732,0.015389490763592362,cov_diag,36
mu,0.19762850658206033,0.009616185835525535,cov,37
var,0.8160650082959302,0.011900768698754208,cov,37
mu,0.19796006315148584,0.011330676216461985,cov_diag,37
var,0.8155593356692199,0.015024990891173366,cov_diag,37
mu,0.21595318193897176,0.009714471743968217,cov,38
var,0.8049874086264077,0.012059958389023908,cov,38
mu,0.2157810376207154,0.011363244259710335,cov_diag,38
var,0.8066544573063861,0.015313528960461864,cov_diag,38
mu,0.21584354121457697,0.009931260854854719,cov,39
var,0.8097245542535837,0.012362947758311543,cov,39
mu,0.21350148569679914,0.011692681172430702,cov_diag,39
var,0.8110842408836538,0.01567267777205787,cov_diag,39
mu,0.21118789331436327,0.009793044540972793,cov,40
var,0.7898973121886157,0.012217292439891992,cov,40
mu,0.21023594541304824,0.01155521598306327,cov_diag,40
var,0.790372329084456,0.01547244955389877,cov_diag,40
mu,0.22157566753182587,0.009749223567631658,cov,41
var,0.8187760365637701,0.012082269329163179,cov,41
mu,0.2213635972838623,0.01151330373979657,cov_diag,41
var,0.8162358905903373,0.015075624712503458,cov_diag,41
mu,0.205654009552086,0.009869067506400991,cov,42
var,0.809749415726162,0.012203792784856976,cov,42
mu,0.2059807239284882,0.011585027445313341,cov_diag,42
var,0.8071646822348885,0.015425408813872771,cov_diag,42
mu,0.19947252779446595,0.009773284169998304,cov,43
var,0.811502267019622,0.012196605162850892,cov,43
mu,0.19800536342196276,0.011544145622569087,cov_diag,43
var,0.8119012513916173,0.01551695607023292,cov_diag,43
mu,0.2188165868868181,0.009806587214653096,cov,44
var,0.7815533554401295,0.012122976897682412,cov,44
mu,0.21769007218158223,0.011588596604431964,cov_diag,44
var,0.7826110112106404,0.015412900456252899,cov_diag,44
mu,0.2083604023595253,0.009790283490135328,cov,45
var,0.8080579371330409,0.012019258098763343,cov,45
mu,0.21012461449871353,0.011518316547138351,cov_diag,45
var,0.8086332398657712,0.01528688154156068,cov_diag,45
mu,0.19676077468365233,0.00993869361391647,cov,46
var,0.7992841979355852,0.01240029141144857,cov,46
mu,0.19698402981540142,0.011675768639947643,cov_diag,46
var,0.7972962523981155,0.01573563926511156,cov_diag,46
mu,0.21437174076806656,0.009777514314920216,cov,47
var,0.8044858760003962,0.012254194813924767,cov,47
mu,0.21344507916787483,0.011572618807766917,cov_diag,47
var,0.8040982516057074,0.015556789202987802,cov_diag,47
mu,0.23236851491864433,0.009622035090491251,cov,48
var,0.784091848167085,0.011874982143805857,cov,48
mu,0.23338417146623325,0.011353185564125214,cov_diag,48
var,0.7838492115462912,0.014989864936875888,cov_diag,48
mu,0.20207874774682685,0.009755154960949561,cov,49
var,0.7993954540526464,0.012058959957965047,cov,49
mu,0.20397956141610846,0.011481866408803193,cov_diag,49
var,0.801524516936878,0.015330572515054942,cov_diag,49
mu,0.21229617422549726,0.009799955540829092,cov,50
var,0.7943946799554312,0.01215256186259964,cov,50
mu,0.21224665521816252,0.011620671049733251,cov_diag,50
var,0.7944330791790682,0.015428818676255786,cov_diag,50
mu,0.20311313353372124,0.00983680978277803,cov,51
var,0.8081784389733816,0.01207657238933215,cov,51
mu,0.20404422050608753,0.011565381982431481,cov_diag,51
var,0.8079729253623015,0.015264441057560522,cov_diag,51
mu,0.2017886559968483,0.00960262985626914,cov,52
var,0.7934773791974663,0.011669294132676498,cov,52
mu,0.20206746502060224,0.011307688208955911,cov_diag,52
var,0.7941061448304961,0.014857289008969685,cov_diag,52
mu,0.19185965203255667,0.009751157064838999,cov,53
var,0.788787587799632,0.012189137557646624,cov,53
mu,0.19078879939816118,0.01158422224869199,cov_diag,53
var,0.7897903199837337,0.015634725536894614,cov_diag,53
mu,0.20696680728484737,0.009773821902424682,cov,54
var,0.808096790654311,0.012023577335588417,cov,54
mu,0.20741731483519563,0.011434070842985403,cov_diag,54
var,0.8053506792932196,0.015193769748741507,cov_diag,54
mu,0.20477667018155374,0.009678580768379562,cov,55
var,0.7893618866092486,0.011915583398265843,cov,55
mu,0.20552208765034555,0.011463132449696684,cov_diag,55
var,0.7889717099445072,0.015095330924834307,cov_diag,55
mu,0.20084643020938742,0.009857862587129385,cov,56
var,0.8044431396898033,0.012123719425694167,cov,56
