Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.19343924998015485,0.010778164200550888,cov,0
var,0.8259693409761797,0.015122798038981427,cov,0
mu,0.19368303839798426,0.014721430746744795,cov_diag,0
var,0.8298778362147924,0.020456935028206974,cov_diag,0
mu,0.18071181392184726,0.010722407528306502,cov,1
var,0.8224132002739057,0.015123433441461075,cov,1
mu,0.17952097142663687,0.014566134849146546,cov_diag,1
var,0.8181189911288581,0.021009844068199925,cov_diag,1
mu,0.19660908507096034,0.010889208922798026,cov,2
var,0.7927929653086891,0.015124739668744763,cov,2
mu,0.19889932004657282,0.014659447028291849,cov_diag,2
var,0.7979237810870363,0.020811049084495267,cov_diag,2
mu,0.21133391109637567,0.010690254484822704,cov,3
var,0.780410352699027,0.014970642887452762,cov,3
mu,0.2106378342499362,0.014439085860170163,cov_diag,3
var,0.7755291235252745,0.020763160297247014,cov_diag,3
mu,0.18048959524430758,0.010856195851723281,cov,4
var,0.8147878009054895,0.015120421269573596,cov,4
mu,0.1796558542788663,0.014641505245023057,cov_diag,4
var,0.8140367567628511,0.02080534651996784,cov_diag,4
mu,0.19905703167751826,0.010709462267952165,cov,5
var,0.8010920217202836,0.01488816349796216,cov,5
mu,0.19803887565295128,0.014435552641556246,cov_diag,5
var,0.8005652238379304,0.020296614008859962,cov_diag,5
mu,0.20924518385621052,0.010873669332086673,cov,6
var,0.8274343416098036,0.01556701151732147,cov,6
mu,0.21031050691914482,0.014768242228155965,cov_diag,6
var,0.8256736315837061,0.0215286800039521,cov_diag,6
mu,0.18902832948601675,0.010612647912076929,cov,7
var,0.8099218551366764,0.014967118720046252,cov,7
mu,0.18876082142178696,0.014304084897890762,cov_diag,7
var,0.8054035698696564,0.020892455951190842,cov_diag,7
mu,0.19276826297725855,0.010960600091389546,cov,8
var,0.8347141776345928,0.015547237077594336,cov,8
mu,0.19286775313795465,0.014857376893849554,cov_diag,8
var,0.8352663684609298,0.02143550679677022,cov_diag,8
mu,0.18875541072128957,0.010702882313697216,cov,9
var,0.8173889791776497,0.015113397212910686,cov,9
mu,0.18912071181186155,0.014573447232173976,cov_diag,9
var,0.8149705061657818,0.021276425684760618,cov_diag,9
mu,0.20111794432270486,0.010818088987852867,cov,10
var,0.8037781090850156,0.01527321200736824,cov,10
mu,0.20059768554017712,0.01476772001424083,cov_diag,10
var,0.8030580779426135,0.021083385115170526,cov_diag,10
mu,0.20697207382680213,0.010573371353190565,cov,11
var,0.815538808846502,0.014909573786250102,cov,11
mu,0.2047172228442587,0.014466949492336654,cov_diag,11
var,0.8137323095321757,0.02067093852586843,cov_diag,11
mu,0.19320596603988613,0.010865167204717915,cov,12
