Parameter,Value,Error,Fit_Type,Bootstrap_Index
mu,0.1959007135544847,0.010157070860873732,cov,0
var,0.8173498558534374,0.012903943805590248,cov,0
mu,0.1962694672555313,0.013130681590645642,cov_diag,0
var,0.8188275860146923,0.016793423741687723,cov_diag,0
mu,0.18653215102791745,0.010151843505625285,cov,1
var,0.8055088364979026,0.012636390658355225,cov,1
mu,0.18787443309978294,0.013075904923912408,cov_diag,1
var,0.8015792353403478,0.016697945426306895,cov_diag,1
mu,0.19438927774315473,0.010303398105913884,cov,2
var,0.7796528109552887,0.013067090635473186,cov,2
mu,0.1947797918851476,0.01322280161323623,cov_diag,2
var,0.7829830721940023,0.017199817290819087,cov_diag,2
mu,0.21579851224142546,0.010061797290183137,cov,3
var,0.7852027834902703,0.013022904738678493,cov,3
mu,0.21514855631650304,0.013068552808641545,cov_diag,3
var,0.783582278015288,0.017231513832453936,cov_diag,3
mu,0.18192488493962725,0.010216707541033295,cov,4
var,0.8133975640874631,0.012996264025374253,cov,4
mu,0.1849842727899418,0.013267597182868032,cov_diag,4
var,0.812605985939549,0.017035011211665646,cov_diag,4
mu,0.20169275476578302,0.010094099558531905,cov,5
var,0.7926139625826507,0.012658503299721872,cov,5
mu,0.20166333528505487,0.013071063685604085,cov_diag,5
var,0.7886370245019355,0.01674087285109997,cov_diag,5
mu,0.20900964186426424,0.010279439150400745,cov,6
var,0.81762179724479,0.013152706449349703,cov,6
mu,0.21168418634269798,0.013344734272604693,cov_diag,6
var,0.814148445331982,0.017084946662204236,cov_diag,6
mu,0.192093176428199,0.009969092830830528,cov,7
var,0.8044876510399752,0.012878244234114437,cov,7
mu,0.19040142673404864,0.012934788050446394,cov_diag,7
var,0.8020298497526657,0.01707753562435439,cov_diag,7
mu,0.1919895247709305,0.010260294416966036,cov,8
var,0.8305526740671427,0.013252009682554597,cov,8
mu,0.19061291323681753,0.013271228159211246,cov_diag,8
var,0.824893895085055,0.01738393899422957,cov_diag,8
mu,0.19369822699563743,0.010115692197407789,cov,9
var,0.8064399205895261,0.013055984519291025,cov,9
mu,0.19250036921854793,0.013064527136061538,cov_diag,9
var,0.8057607044956607,0.01717724822080532,cov_diag,9
mu,0.19916275138954415,0.010250673817686929,cov,10
var,0.794047630689442,0.012871461862433228,cov,10
mu,0.2004454783173828,0.013361185580372475,cov_diag,10
var,0.7919435189981693,0.01715818719693524,cov_diag,10
mu,0.20292758790937288,0.009985167967193766,cov,11
var,0.7956826342385703,0.012703238478340852,cov,11
mu,0.20334581076785493,0.013047680646404153,cov_diag,11
var,0.7953563614374443,0.016963886825723713,cov_diag,11
mu,0.19754876831418033,0.010114079894966207,cov,12
var,0.8116384337486828,0.01287449461665716,cov,12
mu,0.1976756641957772,0.013117333469381959,cov_diag,12
var,0.8076974210409946,0.016867676571450194,cov_diag,12
mu,0.19943949092610352,0.009975490651751014,cov,13
var,0.7911633281544665,0.012721236471908063,cov,13
mu,0.19879996833556557,0.01280226572862352,cov_diag,13
var,0.7918137060228931,0.016684363494000272,cov_diag,13
mu,0.20937102526048984,0.010325937930258185,cov,14
var,0.8222619763235376,0.013548591732625017,cov,14
mu,0.20781130052734018,0.013277951315515082,cov_diag,14
var,0.8274991888539398,0.017723117278060675,cov_diag,14
mu,0.18362972516987408,0.009896266607270427,cov,15
var,0.7954616468769456,0.01233516777803673,cov,15
mu,0.18520300478056823,0.012816738800431722,cov_diag,15
var,0.7924989204832293,0.016117789018125123,cov_diag,15
mu,0.21026888392104015,0.009982678443685328,cov,16
var,0.7997281212309832,0.012914672235407917,cov,16
mu,0.21122075034559318,0.013057088509729822,cov_diag,16
